CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTSTKBANDHANBNK27-JAN-2026,151.7100000,151.5000000,152.5700000,150.6300000,151.6200000,151.6200000,-0.0500000,1537.0000000,2674800.0000000,743.0000000,405305316.0000000
FUTSTKBANDHANBNK25-NOV-2025,149.7600000,149.7600000,150.6300000,148.5800000,149.6400000,149.6500000,-0.0700000,1957.0000000,37098000.0000000,10305.0000000,5546098836.0000000
FUTSTKBANDHANBNK30-DEC-2025,150.7000000,150.7000000,151.2900000,149.6500000,150.6400000,150.6400000,-0.0300000,31920.0000000,39078000.0000000,10855.0000000,5881103820.0000000
FUTSTKCUMMINSIND30-DEC-2025,4324.4000000,4301.0000000,4362.0000000,4301.0000000,4341.3000000,4341.3000000,0.3900000,15453.0000000,661200.0000000,3306.0000000,2870953660.0000000
FUTSTKCUMMINSIND25-NOV-2025,4296.3000000,4290.2000000,4337.8000000,4286.9000000,4314.6000000,4311.3000000,0.3400000,1304.0000000,417400.0000000,2087.0000000,1801927640.0000000
FUTSTKCUMMINSIND27-JAN-2026,4350.4000000,4350.0000000,4388.0000000,4345.0000000,4362.0000000,4362.0000000,0.2600000,69.0000000,4400.0000000,22.0000000,19206240.0000000
FUTIDXFINNIFTY25-NOV-2025,27525.9000000,27525.9000000,27590.0000000,27400.0000000,27411.8000000,27409.4000000,-0.4200000,285.0000000,25935.0000000,399.0000000,713695404.5000000
FUTIDXFINNIFTY27-JAN-2026,27777.3000000,0.0000000,0.0000000,0.0000000,,27682.8000000,-0.3400000,1.0000000,0.0000000,0.0000000,0.0000000
FUTIDXFINNIFTY30-DEC-2025,27668.8000000,27681.4000000,27725.7000000,27532.0000000,27551.2000000,27551.2000000,-0.4200000,460.0000000,29445.0000000,453.0000000,814078395.0000000
FUTSTKHCLTECH25-NOV-2025,1611.4000000,1612.0000000,1614.3000000,1594.1000000,1598.1000000,1601.1000000,-0.6300000,1845.0000000,1820350.0000000,5201.0000000,2914887465.0000000
FUTSTKHCLTECH30-DEC-2025,1621.8000000,1626.5000000,1629.4000000,1605.5000000,1610.2000000,1610.2000000,-0.7100000,49127.0000000,2561300.0000000,7318.0000000,4130708050.0000000
FUTSTKHCLTECH27-JAN-2026,1621.1000000,1628.0000000,1628.0000000,1603.3000000,1609.7000000,1609.7000000,-0.7000000,898.0000000,93450.0000000,267.0000000,150648400.0000000
FUTSTKINDIGO25-NOV-2025,5816.0000000,5790.0000000,5797.0000000,5747.0000000,5772.0000000,5775.0500000,-0.7000000,3532.0000000,1897500.0000000,12650.0000000,10959781425.0000000
FUTSTKINDIGO30-DEC-2025,5840.0000000,5841.0000000,5841.0000000,5770.0000000,5777.0000000,5777.0000000,-1.0700000,45854.0000000,2062200.0000000,13748.0000000,11942021475.0000000
FUTSTKINDIGO27-JAN-2026,5870.5000000,5850.0000000,5859.5000000,5807.5000000,5821.5000000,5821.5000000,-0.8300000,428.0000000,36900.0000000,246.0000000,215170125.0000000
FUTSTKLTF30-DEC-2025,293.9000000,295.2000000,300.0000000,293.1500000,299.0000000,299.0000000,1.7300000,9359.0000000,17192086.0000000,3853.0000000,5120230001.1000000
FUTSTKLTF27-JAN-2026,296.0500000,297.5000000,301.7500000,297.5000000,300.4000000,300.4000000,1.4600000,239.0000000,229500.0000000,102.0000000,68756962.5000000
FUTSTKLTF25-NOV-2025,292.4500000,293.6500000,298.3000000,291.8000000,297.3000000,296.9000000,1.5200000,2630.0000000,11761832.0000000,2636.0000000,3480832972.0000000
FUTSTKPETRONET25-NOV-2025,271.0000000,271.6500000,272.9500000,270.0500000,271.7000000,272.1500000,0.4200000,642.0000000,6924600.0000000,3847.0000000,1882217610.0000000
FUTSTKPETRONET27-JAN-2026,274.5000000,275.4000000,276.7500000,274.2000000,275.0500000,275.0500000,0.2000000,259.0000000,300200.0000000,158.0000000,82575140.0000000
FUTSTKPETRONET30-DEC-2025,272.8000000,273.1000000,274.8500000,272.1500000,273.4500000,273.4500000,0.2300000,23579.0000000,7538400.0000000,4188.0000000,2063142360.0000000
FUTSTKPOLYCAB30-DEC-2025,7463.0000000,7433.5000000,7569.0000000,7433.5000000,7483.0000000,7483.0000000,0.2600000,11889.0000000,569750.0000000,4558.0000000,4287679750.0000000
FUTSTKPOLYCAB25-NOV-2025,7414.5000000,7442.5000000,7519.5000000,7393.5000000,7423.0000000,7439.0000000,0.3300000,741.0000000,430375.0000000,3443.0000000,3215435375.0000000
FUTSTKPOLYCAB27-JAN-2026,7523.0000000,7524.0000000,7617.5000000,7500.0000000,7528.0000000,7528.0000000,0.0600000,107.0000000,9625.0000000,77.0000000,72840687.5000000
FUTSTKYESBANK25-NOV-2025,22.2000000,22.3000000,22.7800000,22.2600000,22.6500000,22.7000000,2.2500000,1240.0000000,291127100.0000000,9361.0000000,6587928861.0000000
FUTSTKYESBANK30-DEC-2025,22.3600000,22.5100000,22.9500000,22.4100000,22.8100000,22.8100000,2.0100000,32658.0000000,364616400.0000000,11724.0000000,8308500285.0000000
FUTSTKYESBANK27-JAN-2026,22.4900000,22.5800000,23.0700000,22.5600000,22.9500000,22.9500000,2.0400000,1755.0000000,15581100.0000000,501.0000000,357163285.0000000
FUTSTKCOFORGE25-NOV-2025,1804.8000000,1804.8000000,1837.4000000,1793.1000000,1830.9000000,1831.7000000,1.4900000,1350.0000000,1783875.0000000,4757.0000000,3237202575.0000000
FUTSTKCOFORGE30-DEC-2025,1817.4000000,1817.0000000,1847.7000000,1806.5000000,1843.7000000,1843.7000000,1.4400000,33908.0000000,3072750.0000000,8194.0000000,5616117825.0000000
FUTSTKCOFORGE27-JAN-2026,1828.0000000,1827.8000000,1855.0000000,1820.0000000,1852.5000000,1852.5000000,1.3400000,226.0000000,52875.0000000,141.0000000,97239225.0000000
FUTSTKCONCOR25-NOV-2025,516.4500000,515.2000000,518.2500000,509.4000000,511.0500000,512.5000000,-0.7600000,3718.0000000,13028750.0000000,10423.0000000,6684636000.0000000
FUTSTKCONCOR27-JAN-2026,522.2500000,522.2000000,525.1000000,517.3000000,518.5000000,518.5000000,-0.7100000,946.0000000,478750.0000000,383.0000000,249222875.0000000
FUTSTKCONCOR30-DEC-2025,519.5500000,521.8500000,521.9000000,513.6500000,514.9500000,514.9500000,-0.8800000,30132.0000000,14770000.0000000,11816.0000000,7633393437.5000000
FUTSTKDABUR30-DEC-2025,515.8000000,516.8000000,518.5500000,512.2000000,517.7000000,517.7000000,0.3600000,13394.0000000,5308750.0000000,4247.0000000,2738261187.5000000
FUTSTKDABUR25-NOV-2025,512.9500000,511.5000000,516.8500000,508.9000000,514.9000000,514.4000000,0.2800000,3296.0000000,4177500.0000000,3342.0000000,2142232937.5000000
FUTSTKDABUR27-JAN-2026,519.1000000,516.9500000,521.0000000,516.0000000,520.9000000,520.9000000,0.3400000,275.0000000,95000.0000000,76.0000000,49326437.5000000
FUTSTKICICIBANK25-NOV-2025,1366.8000000,1363.0000000,1374.9000000,1353.2000000,1356.3000000,1357.8000000,-0.6500000,5410.0000000,18096400.0000000,25852.0000000,24670052960.0000000
FUTSTKICICIBANK27-JAN-2026,1385.0000000,1380.3000000,1391.7000000,1370.6000000,1373.6000000,1373.6000000,-0.8200000,1871.0000000,584500.0000000,835.0000000,806081850.0000000
FUTSTKICICIBANK30-DEC-2025,1375.8000000,1371.8000000,1384.1000000,1362.2000000,1365.4000000,1365.4000000,-0.7500000,155692.0000000,21959000.0000000,31370.0000000,30127746390.0000000
