CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTSTKADANIPORTS28-AUG-2025,1411.4000000,1415.0000000,1448.0000000,1415.0000000,1442.6000000,1442.6000000,2.2100000,1239.0000000,302575.0000000,637.0000000,433925467.5000000
FUTSTKADANIPORTS31-JUL-2025,1403.6000000,1407.3000000,1440.9000000,1405.5000000,1436.3000000,1436.3000000,2.3200000,49732.0000000,8735250.0000000,18390.0000000,12441861770.0000000
FUTSTKADANIPORTS26-JUN-2025,1395.1000000,1398.8000000,1432.7000000,1397.5000000,1427.6000000,1429.3000000,2.4500000,4861.0000000,5892800.0000000,14732.0000000,8332154320.0000000
FUTSTKAXISBANK31-JUL-2025,1221.9000000,1221.0000000,1246.5000000,1218.2000000,1238.5000000,1238.5000000,1.3500000,103763.0000000,17535625.0000000,28057.0000000,21666941437.5000000
FUTSTKAXISBANK26-JUN-2025,1214.8000000,1215.6000000,1237.4000000,1211.0000000,1230.2000000,1233.5000000,1.5300000,9765.0000000,11217500.0000000,17948.0000000,13767015500.0000000
FUTSTKAXISBANK28-AUG-2025,1229.1000000,1226.8000000,1253.2000000,1226.8000000,1246.0000000,1246.0000000,1.3700000,1202.0000000,290625.0000000,465.0000000,361129187.5000000
FUTSTKBALKRISIND26-JUN-2025,2404.0000000,2409.9000000,2441.0000000,2388.2000000,2432.5000000,2433.4000000,1.2200000,764.0000000,490200.0000000,1634.0000000,1182963780.0000000
FUTSTKBALKRISIND31-JUL-2025,2405.8000000,2414.3000000,2447.5000000,2393.7000000,2442.1000000,2442.1000000,1.5000000,7497.0000000,819000.0000000,2730.0000000,1981344150.0000000
FUTSTKBRITANNIA28-AUG-2025,5707.5000000,5727.0000000,5820.5000000,5698.5000000,5810.0000000,5810.0000000,1.7900000,147.0000000,14375.0000000,115.0000000,82792375.0000000
FUTSTKBRITANNIA31-JUL-2025,5754.5000000,5760.0000000,5869.0000000,5745.5000000,5856.0000000,5856.0000000,1.7600000,24876.0000000,1110250.0000000,8882.0000000,6446387687.5000000
FUTSTKBRITANNIA26-JUN-2025,5715.0000000,5735.0000000,5951.0000000,5709.5000000,5825.0000000,5828.0000000,1.9700000,2145.0000000,903400.0000000,9034.0000000,5213103700.0000000
FUTSTKDELHIVERY26-JUN-2025,387.3500000,393.8500000,393.8500000,380.0500000,384.7500000,384.8000000,-0.6500000,941.0000000,3109475.0000000,2039.0000000,1195678385.0000000
FUTSTKDELHIVERY28-AUG-2025,389.2500000,393.0000000,393.0000000,384.0000000,385.6000000,385.6000000,-0.9300000,191.0000000,145250.0000000,70.0000000,56298692.5000000
FUTSTKDELHIVERY31-JUL-2025,388.8000000,393.0000000,394.8500000,380.5500000,385.1000000,385.1000000,-0.9500000,5553.0000000,6395150.0000000,3082.0000000,2470640561.2500000
FUTSTKDRREDDY26-JUN-2025,1341.2000000,1326.0000000,1332.4000000,1314.1000000,1320.4000000,1321.5000000,-1.4600000,4129.0000000,4478125.0000000,7165.0000000,5910182250.0000000
FUTSTKDRREDDY28-AUG-2025,1345.0000000,1330.3000000,1333.0000000,1319.1000000,1325.5000000,1325.5000000,-1.4400000,89.0000000,35000.0000000,56.0000000,46380812.5000000
FUTSTKDRREDDY31-JUL-2025,1342.9000000,1320.0000000,1333.3000000,1315.1000000,1323.0000000,1323.0000000,-1.4800000,14680.0000000,5294375.0000000,8471.0000000,6997974937.5000000
FUTIDXFINNIFTY31-JUL-2025,26942.5000000,26920.1000000,27284.0000000,26920.1000000,27263.7000000,27263.7000000,1.1900000,1070.0000000,117130.0000000,1802.0000000,3181695062.0000000
FUTIDXFINNIFTY28-AUG-2025,26985.6000000,27128.0000000,27376.4000000,27115.0000000,27376.4000000,27376.4000000,1.4400000,8.0000000,845.0000000,13.0000000,23013724.5000000
FUTIDXFINNIFTY26-JUN-2025,26845.4000000,26882.5000000,27277.1000000,26835.4000000,27253.6000000,27248.4000000,1.5000000,500.0000000,66950.0000000,1030.0000000,1811300653.5000000
FUTSTKHINDALCO28-AUG-2025,677.1500000,680.0000000,695.5000000,673.1000000,692.3000000,692.3000000,2.2300000,533.0000000,504000.0000000,360.0000000,346000480.0000000
FUTSTKHINDALCO26-JUN-2025,672.4500000,673.6000000,694.8000000,672.9500000,691.9000000,690.6000000,2.6900000,3757.0000000,13071800.0000000,9337.0000000,8919569260.0000000
FUTSTKHINDALCO31-JUL-2025,677.4000000,677.7000000,696.2000000,677.0000000,693.1000000,693.1000000,2.3100000,36367.0000000,21656600.0000000,15469.0000000,14871838380.0000000
FUTSTKIDEA28-AUG-2025,7.2400000,7.2000000,7.4600000,7.2000000,7.3400000,7.3400000,1.3800000,3005.0000000,86627700.0000000,1212.0000000,636795791.2500000
FUTSTKIDEA26-JUN-2025,7.1500000,7.1500000,7.3700000,7.1000000,7.2400000,7.2400000,1.2500000,3161.0000000,1153920000.0000000,28848.0000000,8370928800.0000000
FUTSTKIDEA31-JUL-2025,7.2000000,7.2200000,7.4200000,7.1500000,7.3000000,7.3000000,1.3800000,64488.0000000,1583528625.0000000,22155.0000000,11572938237.7500000
FUTSTKIGL26-JUN-2025,209.0400000,209.4500000,209.4600000,206.2000000,207.7400000,208.3300000,-0.3300000,1710.0000000,5381750.0000000,1957.0000000,1116352930.0000000
FUTSTKIGL28-AUG-2025,208.4200000,208.7200000,209.5000000,207.0000000,209.1300000,209.1300000,0.3400000,235.0000000,217250.0000000,79.0000000,45238160.0000000
FUTSTKIGL31-JUL-2025,208.6700000,208.6000000,209.8000000,207.0000000,209.1500000,209.1500000,0.2300000,5130.0000000,6792500.0000000,2470.0000000,1416030220.0000000
FUTSTKINDIANB26-JUN-2025,621.9000000,620.2500000,639.6000000,617.9000000,637.1000000,635.9500000,2.2500000,2490.0000000,2193550.0000000,2309.0000000,1381178210.0000000
FUTSTKINDIANB31-JUL-2025,624.9500000,620.8500000,641.8000000,620.8500000,639.1500000,639.1500000,2.2700000,6183.0000000,2762000.0000000,2762.0000000,1748984150.0000000
FUTSTKINDIANB28-AUG-2025,625.7500000,625.4500000,641.4000000,622.4500000,639.6500000,639.6500000,2.2200000,94.0000000,47000.0000000,47.0000000,29755750.0000000
FUTSTKKAYNES26-JUN-2025,5851.0000000,5853.5000000,5882.5000000,5716.5000000,5779.5000000,5769.0000000,-1.4000000,878.0000000,253800.0000000,2538.0000000,1463160700.0000000
FUTSTKKAYNES31-JUL-2025,5886.0000000,5889.5000000,5921.0000000,5747.5000000,5812.5000000,5812.5000000,-1.2400000,6568.0000000,425700.0000000,4257.0000000,2468912550.0000000
FUTSTKKAYNES28-AUG-2025,5901.0000000,5933.5000000,5933.5000000,5775.0000000,5822.0000000,5822.0000000,-1.3300000,75.0000000,3000.0000000,30.0000000,17460800.0000000
FUTSTKKPITTECH28-AUG-2025,1295.1000000,1292.8000000,1294.0000000,1272.0000000,1285.7000000,1285.7000000,-0.7200000,394.0000000,46000.0000000,115.0000000,59093280.0000000
