CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTSTKADANIPORTS31-JUL-2025,1419.1000000,1429.7000000,1451.4000000,1418.4000000,1448.6000000,1448.6000000,2.0700000,720.0000000,135375.0000000,285.0000000,194873025.0000000
FUTSTKADANIPORTS29-MAY-2025,1409.6000000,1401.7000000,1441.9000000,1401.7000000,1439.1000000,1438.6000000,2.0500000,5126.0000000,3551600.0000000,8879.0000000,5068157440.0000000
FUTSTKADANIPORTS26-JUN-2025,1410.2000000,1417.8000000,1443.6000000,1409.4000000,1440.6000000,1440.6000000,2.1500000,54016.0000000,5275600.0000000,13189.0000000,7547417400.0000000
FUTIDXBANKNIFTY26-JUN-2025,55763.8000000,55770.0000000,56020.0000000,55500.4000000,55869.8000000,55869.8000000,0.1900000,59218.0000000,1573440.0000000,52448.0000000,87710644428.0000000
FUTIDXBANKNIFTY29-MAY-2025,55445.6000000,55659.8000000,55747.8000000,55083.0000000,55474.4000000,55546.0500000,0.1800000,16516.0000000,1198470.0000000,39949.0000000,66337911360.0000000
FUTIDXBANKNIFTY31-JUL-2025,55896.2000000,56073.2000000,56135.8000000,55665.4000000,56009.8000000,56009.8000000,0.2000000,3429.0000000,111615.0000000,3189.0000000,6238783418.0000000
FUTSTKBPCL31-JUL-2025,323.3500000,323.3500000,323.3500000,319.9000000,322.0500000,322.0500000,-0.4000000,182.0000000,106650.0000000,54.0000000,34299528.7500000
FUTSTKBPCL29-MAY-2025,321.0500000,320.5500000,322.1000000,317.4500000,319.2500000,319.1500000,-0.5900000,1904.0000000,8739000.0000000,4855.0000000,2788464420.0000000
FUTSTKBPCL26-JUN-2025,322.8500000,322.9000000,323.9500000,318.8500000,321.1000000,321.1000000,-0.5400000,26003.0000000,10209600.0000000,5672.0000000,3275351640.0000000
FUTSTKDELHIVERY26-JUN-2025,359.1500000,361.1000000,363.0000000,358.8000000,362.0500000,362.0500000,0.8000000,7512.0000000,3391600.0000000,2224.0000000,1224236526.2500000
FUTSTKDELHIVERY31-JUL-2025,362.7500000,362.0500000,362.0500000,359.6000000,362.0000000,362.0000000,-0.2000000,78.0000000,39425.0000000,19.0000000,14244148.7500000
FUTSTKDELHIVERY29-MAY-2025,359.5500000,361.1500000,362.3500000,358.7000000,360.7500000,360.1500000,0.1600000,612.0000000,3765225.0000000,2469.0000000,1356973593.7500000
FUTSTKICICIPRULI26-JUN-2025,660.2500000,662.2000000,678.4500000,662.2000000,671.0000000,671.0000000,1.6200000,19848.0000000,5070750.0000000,6761.0000000,3399935662.5000000
FUTSTKICICIPRULI31-JUL-2025,663.7000000,670.6500000,680.2000000,670.0000000,675.5500000,675.5500000,1.7800000,76.0000000,36075.0000000,39.0000000,24311405.0000000
FUTSTKICICIPRULI29-MAY-2025,657.4500000,659.7000000,675.1500000,659.6500000,668.3500000,668.4500000,1.6700000,605.0000000,2421750.0000000,3229.0000000,1616729775.0000000
FUTSTKJSL29-MAY-2025,648.1000000,663.5000000,675.2000000,656.5000000,668.9500000,669.2000000,3.2500000,448.0000000,1576350.0000000,2034.0000000,1045541146.2500000
FUTSTKJSL26-JUN-2025,651.2000000,661.0500000,678.0000000,660.3000000,673.9500000,673.9500000,3.4900000,8174.0000000,2403275.0000000,3101.0000000,1606016651.2500000
FUTSTKJSL31-JUL-2025,654.6000000,669.5500000,678.7000000,662.9500000,677.8000000,677.8000000,3.5400000,33.0000000,48450.0000000,57.0000000,32248192.5000000
