CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTSTKAMBER28-AUG-2025,7206,7216,7364.5,7156,7229.5,7254,0.66,1613,221100,2211,1605846500
FUTSTKAMBER28-OCT-2025,7291,7334,7398,7305,7316,7316,0.34,37,1100,11,8072500
FUTSTKAMBER30-SEP-2025,7254,7227.5,7419.5,7204,7279.5,7279.5,0.35,6070,289600,2896,2121217750
FUTSTKAPOLLOHOSP28-AUG-2025,7773.5,7761,7808.5,7711,7732,7728,-0.58,2501,415750,3326,3228262063
FUTSTKAPOLLOHOSP30-SEP-2025,7824,7801.5,7852.5,7765.5,7778.5,7778.5,-0.58,21903,637125,5097,4977847375
FUTSTKAPOLLOHOSP28-OCT-2025,7868.5,7831,7895,7807.5,7812.5,7812.5,-0.71,245,21375,171,167656500
FUTSTKBANKBARODA30-SEP-2025,236.03,236.15,237.03,232.78,234.33,234.33,-0.72,38531,41988375,14355,9844472459
FUTSTKBANKBARODA28-OCT-2025,237.4,237.31,237.31,234,235.78,235.78,-0.68,561,728325,249,171679218.8
FUTSTKBANKBARODA28-AUG-2025,234.79,235.29,236.12,231.53,232.93,233.24,-0.66,1113,36498150,12478,8513000438
FUTSTKCIPLA30-SEP-2025,1586,1589.6,1592.8,1575.1,1586.2,1586.2,0.01,28769,2131875,5685,3380482163
FUTSTKCIPLA28-OCT-2025,1594.5,1598.2,1598.3,1586.2,1594.4,1594.4,0,80,13875,37,22107975
FUTSTKCIPLA28-AUG-2025,1577.5,1580.3,1585.5,1568.2,1579.1,1580.3,0.17,2411,1574625,4199,2485630163
FUTSTKEXIDEIND28-OCT-2025,400.95,401.45,401.5,396.6,397.5,397.5,-0.86,392,345600,192,137976840
FUTSTKEXIDEIND28-AUG-2025,396.65,395,397.65,391.1,392.95,394,-0.66,852,9322200,5179,3678989040
FUTSTKEXIDEIND30-SEP-2025,398.75,398.1,399.9,392.95,395.35,395.35,-0.85,16258,10222200,5679,4058047350
FUTSTKGRASIM28-OCT-2025,2826.7,2810.3,2832.5,2810.3,2815.5,2815.5,-0.39,87,12250,49,34583825
FUTSTKGRASIM28-AUG-2025,2796.5,2736.8,2803.4,2736.8,2783.4,2784.3,-0.43,438,2178000,8712,6079320100
FUTSTKGRASIM30-SEP-2025,2813,2811.5,2819.1,2793.2,2800,2800,-0.46,51678,2470000,9880,6931591200
FUTSTKHINDALCO28-AUG-2025,704.5,701.1,706.4,697,699.3,701.4,-0.44,1967,7337400,5241,5152298690
FUTSTKHINDALCO28-OCT-2025,712.05,707.95,714.5,706,707.55,707.55,-0.63,1332,228200,163,162027250
FUTSTKHINDALCO30-SEP-2025,708.3,706.15,711,702,703.85,703.85,-0.62,35896,9734200,6953,6877896410
FUTSTKICICIGI28-OCT-2025,1891.4,1883.8,1907,1873.6,1880,1880,-0.6,75,12350,38,23298730
FUTSTKICICIGI30-SEP-2025,1884.7,1882.7,1905.1,1862,1870.8,1870.8,-0.73,15338,1854125,5705,3493485840
FUTSTKICICIGI28-AUG-2025,1874.3,1875.2,1894.8,1852.1,1862.4,1860.3,-0.74,593,1760525,5417,3298525198
FUTSTKICICIPRULI30-SEP-2025,618.75,617.2,625,611.05,612.65,612.65,-0.98,12165,2648275,2863,1638282485
FUTSTKICICIPRULI28-OCT-2025,622.4,621.8,628,613.65,616.45,616.45,-0.95,129,71225,77,44355368.75
FUTSTKICICIPRULI28-AUG-2025,615.75,619.1,622.25,608,609.75,609.55,-1,1244,2238500,2420,1377820106
FUTSTKINDIGO28-AUG-2025,6037,5881.5,5890,5707.5,5731.5,5726.5,-5.14,3217,4178250,27855,24099799725
FUTSTKINDIGO30-SEP-2025,6050,5912,5912,5730,5747.5,5747.5,-5,57500,7618800,50792,44129105025
FUTSTKINDIGO28-OCT-2025,6058,5884,5884,5753,5773,5773,-4.7,622,119550,797,695018625
FUTSTKINOXWIND28-AUG-2025,142.05,141.57,141.58,136.51,136.83,136.98,-3.56,1665,18490072,5651,2561699778
FUTSTKINOXWIND28-OCT-2025,143.06,141.74,141.74,137.9,138.22,138.22,-3.38,390,1069944,327,149662098
FUTSTKINOXWIND30-SEP-2025,142.23,141.53,142.18,137.31,137.57,137.57,-3.27,12240,22089272,6751,3077440827
FUTSTKKEI30-SEP-2025,3890.7,3891.4,3943.9,3834.8,3873,3873,-0.45,5117,360850,2062,1404933198
FUTSTKKEI28-OCT-2025,3915.7,3932.4,3932.4,3895,3908.7,3908.7,-0.17,26,3850,22,15075462.5
FUTSTKKEI28-AUG-2025,3872,3892,3925.9,3813.5,3852.4,3863,-0.23,1046,293650,1678,1137362083
FUTSTKLODHA28-OCT-2025,1245.6,1221,1256.5,1220,1222.4,1222.4,-1.86,127,45000,100,55477170
FUTSTKLODHA30-SEP-2025,1242,1216.7,1254.7,1213.3,1215.4,1215.4,-2.14,18699,2711700,6026,3322697085
FUTSTKLODHA28-AUG-2025,1235,1210.1,1251.1,1203.9,1208.2,1208.2,-2.17,406,2184300,4854,2661428340
FUTSTKMUTHOOTFIN30-SEP-2025,2686.2,2682,2707.6,2648.2,2657,2657,-1.08,12259,1425050,5182,3813597563
FUTSTKMUTHOOTFIN28-OCT-2025,2695.6,2679.4,2713.8,2667.8,2672.3,2672.3,-0.86,100,5500,20,14750807.5
FUTSTKMUTHOOTFIN28-AUG-2025,2667.6,2672.1,2689.8,2630.8,2639.8,2644.8,-0.85,5354,1263075,4593,3358921280
FUTSTKNCC30-SEP-2025,213,212.73,213.58,208.06,209.11,209.11,-1.82,4973,7554600,2798,1599925527
FUTSTKNCC28-AUG-2025,211.8,211.16,212.36,206.78,208.28,207.93,-1.82,607,7813800,2894,1644891624
FUTSTKNCC28-OCT-2025,214.18,214,214.71,209.6,210.33,210.33,-1.79,200,326700,121,69603921
FUTSTKNESTLEIND30-SEP-2025,1170,1168.1,1172.8,1162.1,1167.6,1167.6,-0.2,40616,2621500,5243,3062534350
FUTSTKNESTLEIND28-AUG-2025,1164.5,1151,1167.7,1151,1163.4,1162.4,-0.18,1110,2107000,4214,2448842300
FUTSTKNESTLEIND28-OCT-2025,1174.9,1174,1179.1,1168.5,1174.4,1174.4,-0.04,322,52500,105,61622250
FUTSTKPERSISTENT28-AUG-2025,5387.5,5365.5,5382.5,5284.5,5309.5,5313.5,-1.37,1614,596300,5963,3185769950
FUTSTKPERSISTENT28-OCT-2025,5443.5,5421,5434,5340,5363,5363,-1.47,352,28900,289,156265250
FUTSTKPERSISTENT30-SEP-2025,5414.5,5390.5,5410,5313,5337.5,5337.5,-1.42,23845,760100,7601,4081311250
FUTSTKRECLTD28-AUG-2025,363.7,363,363,353.65,354.25,354.9,-2.41,2969,34687650,27206,12398063344
FUTSTKRECLTD30-SEP-2025,365.5,364.5,364.5,355.55,356.3,356.3,-2.51,64530,39717525,31151,14273956436
FUTSTKRECLTD28-OCT-2025,367.35,367.35,367.35,357,358.4,358.4,-2.43,2498,2850900,2236,1030070970
FUTSTKTATACONSUM28-AUG-2025,1081.2,1085.1,1085.8,1058.4,1061.4,1062.4,-1.73,640,2300650,4183,2457548500
FUTSTKTATACONSUM30-SEP-2025,1087.1,1091.4,1091.4,1065,1067.8,1067.8,-1.77,25010,2876500,5230,3089573135
FUTSTKTATACONSUM28-OCT-2025,1092.1,1093,1093.2,1072,1074,1074,-1.65,146,38500,70,41587975
FUTSTKULTRACEMCO28-OCT-2025,12766,12671,12780,12621,12679,12679,-0.68,530,4500,90,57160450
FUTSTKULTRACEMCO30-SEP-2025,12689,12663,12729,12541,12605,12605,-0.66,44266,483850,9677,6118948300
FUTSTKULTRACEMCO28-AUG-2025,12604,12537,12655,12463,12533,12521,-0.65,2457,428650,8573,5392589400
FUTSTKVBL28-AUG-2025,509.65,514.6,514.6,496.7,498.9,497.7,-2.34,6958,4006725,3909,2012931900
