CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTSTKADANIGREEN24-APR-2025,919.9500000,914.0000000,972.7000000,911.1500000,965.8000000,965.8000000,4.9800000,40993.0000000,7412250.0000000,19766.0000000,7020494756.2500000
FUTSTKADANIGREEN29-MAY-2025,924.1000000,918.8500000,977.3000000,917.8500000,968.7500000,968.7500000,4.8300000,754.0000000,184500.0000000,492.0000000,176261212.5000000
FUTSTKADANIGREEN27-MAR-2025,913.2000000,906.5500000,969.0000000,905.5000000,961.5500000,959.9000000,5.1100000,5195.0000000,5163375.0000000,13769.0000000,4836871256.2500000
FUTSTKANGELONE27-MAR-2025,2324.1000000,2324.1000000,2347.1000000,2268.5500000,2323.3000000,2318.3000000,-0.2400000,2990.0000000,1116800.0000000,5584.0000000,2596753480.0000000
FUTSTKANGELONE24-APR-2025,2221.0000000,2259.9500000,2259.9500000,2172.0000000,2224.4000000,2224.4000000,0.1500000,21291.0000000,1388000.0000000,6940.0000000,3058045990.0000000
FUTSTKANGELONE29-MAY-2025,2159.0500000,2149.6000000,2172.5000000,2105.0000000,2151.8000000,2151.8000000,-0.3300000,1809.0000000,144600.0000000,723.0000000,307055840.0000000
FUTSTKCAMS24-APR-2025,3547.8000000,3568.7500000,3624.9000000,3512.0000000,3591.5500000,3591.5500000,1.2300000,11142.0000000,610250.0000000,4882.0000000,2176413493.7500000
FUTSTKCAMS29-MAY-2025,3505.0000000,3526.4000000,3570.0000000,3460.0000000,3530.1500000,3530.1500000,0.7100000,362.0000000,21250.0000000,170.0000000,74605587.5000000
FUTSTKCAMS27-MAR-2025,3674.9500000,3673.3000000,3740.7500000,3654.2000000,3692.4500000,3687.8500000,0.3500000,1099.0000000,563500.0000000,4508.0000000,2080587262.5000000
FUTSTKCOALINDIA27-MAR-2025,394.5500000,393.2000000,398.6500000,392.5500000,395.9000000,396.8500000,0.5800000,4391.0000000,16164750.0000000,15395.0000000,6417476100.0000000
FUTSTKCOALINDIA29-MAY-2025,399.2000000,399.0000000,404.0000000,398.3500000,401.8500000,401.8500000,0.6600000,1542.0000000,175350.0000000,167.0000000,70547715.0000000
FUTSTKCOALINDIA24-APR-2025,396.8000000,396.4000000,401.7500000,395.5500000,399.2000000,399.2000000,0.6000000,53211.0000000,19053300.0000000,18146.0000000,7619873257.5000000
FUTSTKINFY24-APR-2025,1610.9000000,1600.0000000,1628.9000000,1598.5000000,1612.8000000,1612.8000000,0.1100000,131343.0000000,14661200.0000000,36653.0000000,23632334900.0000000
FUTSTKINFY29-MAY-2025,1617.8500000,1614.0000000,1634.4500000,1606.5500000,1619.5000000,1619.5000000,0.1000000,4976.0000000,216400.0000000,541.0000000,350523540.0000000
FUTSTKINFY27-MAR-2025,1599.4500000,1595.0500000,1617.4000000,1588.2000000,1601.5000000,1603.5500000,0.2500000,3163.0000000,9960800.0000000,24902.0000000,15951853500.0000000
FUTSTKJSWENERGY27-MAR-2025,553.5500000,554.0000000,555.0000000,544.3500000,550.4000000,548.3500000,-0.9300000,1515.0000000,3111750.0000000,4149.0000000,1708532662.5000000
FUTSTKJSWENERGY24-APR-2025,555.3500000,553.5000000,561.1500000,548.1500000,552.6500000,552.6500000,-0.4800000,21667.0000000,6344250.0000000,8459.0000000,3505587300.0000000
FUTSTKJSWENERGY29-MAY-2025,558.4500000,553.8000000,560.5500000,553.0000000,556.3000000,556.3000000,-0.3800000,316.0000000,40500.0000000,54.0000000,22525650.0000000
FUTSTKMOTHERSON24-APR-2025,135.5200000,130.5000000,133.2000000,124.8000000,132.3300000,132.3300000,-2.3500000,36077.0000000,80354250.0000000,22635.0000000,10467763874.0000000
FUTSTKMOTHERSON29-MAY-2025,136.3900000,133.0000000,133.9400000,125.5300000,133.2900000,133.2900000,-2.2700000,768.0000000,2147750.0000000,605.0000000,279716534.5000000
FUTSTKMOTHERSON27-MAR-2025,135.0600000,130.1000000,133.0000000,124.4700000,131.9400000,131.9000000,-2.3300000,4224.0000000,45067250.0000000,12695.0000000,5876271086.5000000
FUTSTKMPHASIS24-APR-2025,2531.4000000,2512.3000000,2559.0000000,2501.6500000,2548.3500000,2548.3500000,0.6600000,13611.0000000,1162975.0000000,4229.0000000,2954349640.0000000
FUTSTKMPHASIS27-MAR-2025,2513.1000000,2488.4500000,2546.8000000,2488.4500000,2533.9000000,2528.2000000,0.6000000,1493.0000000,774950.0000000,2818.0000000,1956467287.5000000
FUTSTKMPHASIS29-MAY-2025,2550.8000000,2550.7500000,2572.0500000,2531.6000000,2564.4500000,2564.4500000,0.5300000,169.0000000,9350.0000000,34.0000000,23871760.0000000
FUTSTKMRF29-MAY-2025,115852.3000000,114693.8000000,115465.5500000,114114.0000000,114717.4000000,114717.4000000,-0.9700000,114.0000000,305.0000000,61.0000000,34980459.0000000
FUTSTKMRF24-APR-2025,115201.4500000,114696.5000000,114847.6500000,113414.0000000,114134.8500000,114134.8500000,-0.9200000,13677.0000000,18690.0000000,3738.0000000,2131277582.5000000
