CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTSTKABB28-OCT-2025,5240.0000000,5253.0000000,5261.5000000,5140.0000000,5164.0000000,5175.5000000,-1.2300000,959.0000000,523000.0000000,4184.0000000,2715353312.5000000
FUTSTKABB25-NOV-2025,5238.5000000,5248.0000000,5260.0000000,5168.5000000,5200.5000000,5200.5000000,-0.7200000,18634.0000000,723125.0000000,5785.0000000,3766914437.5000000
FUTSTKABB30-DEC-2025,5263.0000000,5269.0000000,5280.0000000,5201.0000000,5233.0000000,5233.0000000,-0.5700000,531.0000000,39125.0000000,313.0000000,205154250.0000000
FUTSTKABCAPITAL28-OCT-2025,310.8000000,316.7000000,318.2000000,308.2000000,312.0500000,312.6000000,0.5700000,491.0000000,8280100.0000000,2671.0000000,2578564035.0000000
FUTSTKABCAPITAL25-NOV-2025,312.8000000,318.0000000,320.2500000,310.0500000,314.3500000,314.3500000,0.4900000,24025.0000000,21768200.0000000,7022.0000000,6825150650.0000000
FUTSTKABCAPITAL30-DEC-2025,314.6500000,315.6500000,320.5500000,312.2500000,316.2500000,316.2500000,0.5000000,254.0000000,561100.0000000,181.0000000,177167635.0000000
FUTSTKADANIENT28-OCT-2025,2492.8000000,2497.6000000,2514.0000000,2481.1000000,2491.0000000,2494.4000000,0.0600000,2632.0000000,3259500.0000000,10865.0000000,8135874720.0000000
FUTSTKADANIENT30-DEC-2025,2525.0000000,2522.0000000,2543.0000000,2512.0000000,2523.8000000,2523.8000000,-0.0400000,430.0000000,45900.0000000,153.0000000,115915380.0000000
FUTSTKADANIENT25-NOV-2025,2506.1000000,2517.3000000,2527.9000000,2495.5000000,2505.9000000,2505.9000000,0.0000000,46779.0000000,3934800.0000000,13116.0000000,9875857020.0000000
FUTSTKADANIGREEN28-OCT-2025,1016.5000000,1020.0000000,1023.0000000,997.1000000,1003.7000000,1004.2000000,-1.2100000,1265.0000000,4395000.0000000,7325.0000000,4433618700.0000000
FUTSTKADANIGREEN25-NOV-2025,1022.6000000,1020.2000000,1029.7000000,1003.5000000,1009.8000000,1009.8000000,-1.2500000,35178.0000000,5895600.0000000,9826.0000000,5982740940.0000000
FUTSTKADANIGREEN30-DEC-2025,1029.6000000,1029.1000000,1035.2000000,1011.0000000,1017.5000000,1017.5000000,-1.1700000,730.0000000,214200.0000000,357.0000000,218700780.0000000
FUTSTKAMBUJACEM30-DEC-2025,568.1500000,567.6500000,570.4500000,560.4500000,562.4500000,562.4500000,-1.0000000,498.0000000,249900.0000000,238.0000000,141131655.0000000
FUTSTKAMBUJACEM28-OCT-2025,561.0500000,558.8000000,563.8000000,552.8000000,555.3500000,554.9000000,-1.0900000,2118.0000000,11376750.0000000,10835.0000000,6349781655.0000000
FUTSTKAMBUJACEM25-NOV-2025,564.3500000,562.3000000,567.0000000,556.1000000,558.5500000,558.5500000,-1.0200000,42245.0000000,12171600.0000000,11592.0000000,6830884672.5000000
FUTSTKAPOLLOHOSP28-OCT-2025,7855.5000000,7862.5000000,7930.5000000,7833.5000000,7887.5000000,7880.5000000,0.3100000,2114.0000000,482000.0000000,3856.0000000,3788023000.0000000
FUTSTKAPOLLOHOSP25-NOV-2025,7900.0000000,7925.0000000,7948.0000000,7878.0000000,7928.0000000,7928.0000000,0.3500000,20097.0000000,619125.0000000,4953.0000000,4894316312.5000000
FUTSTKAPOLLOHOSP30-DEC-2025,7953.0000000,7940.0000000,7994.0000000,7934.0000000,7985.5000000,7985.5000000,0.4000000,114.0000000,5875.0000000,47.0000000,46767187.5000000
FUTSTKASIANPAINT28-OCT-2025,2518.4000000,2518.5000000,2531.3000000,2492.4000000,2506.1000000,2509.3000000,-0.3600000,2844.0000000,1798000.0000000,7192.0000000,4508633950.0000000
FUTSTKASIANPAINT25-NOV-2025,2527.2000000,2526.1000000,2540.7000000,2506.0000000,2519.4000000,2519.4000000,-0.3000000,49494.0000000,2046000.0000000,8184.0000000,5155697525.0000000
FUTSTKASIANPAINT30-DEC-2025,2543.1000000,2536.4000000,2558.3000000,2521.7000000,2535.6000000,2535.6000000,-0.2900000,640.0000000,53000.0000000,212.0000000,134509550.0000000
FUTSTKAUBANK30-DEC-2025,872.4500000,876.7000000,887.8500000,876.7000000,886.9000000,886.9000000,1.6500000,227.0000000,116000.0000000,116.0000000,102604750.0000000
FUTSTKAUBANK28-OCT-2025,864.3000000,869.2000000,883.8000000,867.0000000,881.9500000,879.9000000,1.8000000,1158.0000000,4758000.0000000,4758.0000000,4175222450.0000000
FUTSTKAUBANK25-NOV-2025,869.2500000,874.0000000,885.8500000,871.7500000,884.1000000,884.1000000,1.7000000,18178.0000000,6120000.0000000,6120.0000000,5397448650.0000000
FUTSTKAUROPHARMA30-DEC-2025,1107.5000000,1105.8000000,1117.0000000,1097.2000000,1113.8000000,1113.8000000,0.5600000,195.0000000,42350.0000000,77.0000000,46816110.0000000
