CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTSTKAMBUJACEM28-AUG-2025,621.1500000,630.0000000,630.0000000,592.0000000,594.6500000,594.6500000,-4.2600000,27647.0000000,18698400.0000000,17808.0000000,11442540795.0000000
FUTSTKAMBUJACEM31-JUL-2025,617.2500000,619.3000000,626.0000000,588.5500000,592.2500000,592.7000000,-3.9700000,1639.0000000,7956900.0000000,7578.0000000,4860445590.0000000
FUTSTKAMBUJACEM30-SEP-2025,624.7500000,622.0500000,630.3000000,596.0000000,597.7000000,597.7000000,-4.3200000,338.0000000,433650.0000000,413.0000000,267894847.5000000
FUTSTKCANBK31-JUL-2025,108.2300000,106.8800000,108.3000000,106.0500000,107.1800000,107.2500000,-0.9000000,4978.0000000,56112750.0000000,8313.0000000,6023214675.0000000
FUTSTKCANBK28-AUG-2025,108.8200000,107.8900000,109.0000000,106.6800000,107.8400000,107.8400000,-0.9000000,32616.0000000,91192500.0000000,13510.0000000,9844411882.5000000
FUTSTKCANBK30-SEP-2025,109.4500000,108.6900000,109.5300000,107.3500000,108.4100000,108.4100000,-0.9500000,754.0000000,3071250.0000000,455.0000000,334102590.0000000
FUTSTKCDSL30-SEP-2025,1505.0000000,1490.0000000,1503.8000000,1476.0000000,1478.9000000,1478.9000000,-1.7300000,1165.0000000,170525.0000000,359.0000000,253646390.0000000
FUTSTKCDSL28-AUG-2025,1502.3000000,1482.4000000,1501.3000000,1472.1000000,1476.0000000,1476.0000000,-1.7500000,18472.0000000,4193775.0000000,8829.0000000,6228670392.5000000
FUTSTKCDSL31-JUL-2025,1516.7000000,1493.3000000,1512.8000000,1475.2000000,1481.0000000,1480.8000000,-2.3600000,1870.0000000,3270850.0000000,6886.0000000,4887249445.0000000
FUTSTKIDFCFIRSTB30-SEP-2025,70.0800000,69.6500000,70.2500000,69.1500000,69.5800000,69.5800000,-0.7100000,1548.0000000,3385375.0000000,365.0000000,236176466.7500000
FUTSTKIDFCFIRSTB28-AUG-2025,69.6700000,69.5800000,69.8800000,68.6800000,69.1500000,69.1500000,-0.7400000,39336.0000000,88817400.0000000,9576.0000000,6158847178.7500000
FUTSTKIDFCFIRSTB31-JUL-2025,69.3100000,68.7500000,69.6000000,68.3200000,68.8100000,68.7600000,-0.7900000,1535.0000000,65258900.0000000,7036.0000000,4504714555.2500000
FUTSTKMARICO30-SEP-2025,704.0000000,704.0000000,712.5500000,704.0000000,710.0000000,710.0000000,0.8500000,69.0000000,34800.0000000,29.0000000,24653880.0000000
FUTSTKMARICO31-JUL-2025,703.1500000,708.2500000,713.5000000,699.6000000,708.1500000,709.8000000,0.9400000,361.0000000,2571600.0000000,2143.0000000,1819742880.0000000
FUTSTKMARICO28-AUG-2025,700.2500000,694.5000000,709.9500000,694.5000000,705.2500000,705.2500000,0.7100000,17394.0000000,4476000.0000000,3730.0000000,3155716500.0000000
FUTSTKMOTHERSON30-SEP-2025,99.8000000,97.5000000,99.2600000,97.3400000,98.2600000,98.2600000,-1.5400000,475.0000000,1703550.0000000,277.0000000,167663083.5000000
FUTSTKMOTHERSON28-AUG-2025,99.2300000,96.8000000,98.6800000,95.1000000,97.6800000,97.6800000,-1.5600000,24847.0000000,46881450.0000000,7623.0000000,4591549471.5000000
FUTSTKMOTHERSON31-JUL-2025,98.8100000,95.7000000,98.2900000,95.0500000,97.0700000,97.1700000,-1.6500000,1482.0000000,38025450.0000000,6183.0000000,3708959466.0000000
FUTSTKNATIONALUM31-JUL-2025,186.9400000,185.2400000,187.7800000,183.9300000,185.0000000,185.0600000,-1.0000000,932.0000000,19803750.0000000,5281.0000000,3674256825.0000000
FUTSTKNATIONALUM28-AUG-2025,187.8600000,186.0000000,188.6400000,184.9000000,185.9000000,185.9000000,-1.0400000,16521.0000000,25110000.0000000,6696.0000000,4679777587.5000000
FUTSTKNATIONALUM30-SEP-2025,188.1000000,186.6700000,188.5000000,185.0000000,185.5000000,185.5000000,-1.3800000,450.0000000,720000.0000000,192.0000000,134182462.5000000
FUTSTKPOLYCAB31-JUL-2025,6930.5000000,6744.5000000,6871.5000000,6685.5000000,6800.0000000,6821.0000000,-1.5700000,1114.0000000,650125.0000000,5201.0000000,4420735187.5000000
FUTSTKPOLYCAB28-AUG-2025,6964.5000000,6850.5000000,6908.0000000,6676.5000000,6837.0000000,6837.0000000,-1.8300000,14401.0000000,1265875.0000000,10127.0000000,8643566875.0000000
FUTSTKPOLYCAB30-SEP-2025,7003.5000000,6795.5000000,6936.0000000,6720.0000000,6878.5000000,6878.5000000,-1.7800000,256.0000000,19500.0000000,156.0000000,133785187.5000000
FUTSTKSUNPHARMA31-JUL-2025,1732.6000000,1723.0000000,1746.7000000,1693.8000000,1708.1000000,1706.7000000,-1.4900000,8472.0000000,7476000.0000000,21360.0000000,12876487155.0000000
FUTSTKSUNPHARMA28-AUG-2025,1743.9000000,1730.0000000,1758.0000000,1701.0000000,1713.9000000,1713.9000000,-1.7200000,54939.0000000,11346650.0000000,32419.0000000,19660671310.0000000
FUTSTKSUNPHARMA30-SEP-2025,1757.9000000,1754.2000000,1766.0000000,1715.2000000,1725.9000000,1725.9000000,-1.8200000,346.0000000,117600.0000000,336.0000000,204829730.0000000
FUTSTKTATACHEM31-JUL-2025,1001.8000000,985.7000000,998.2000000,979.3500000,982.8500000,982.5000000,-1.9200000,1486.0000000,2378350.0000000,3659.0000000,2350225507.5000000
FUTSTKTATACHEM30-SEP-2025,1010.8500000,1006.2000000,1008.4500000,990.3000000,991.6500000,991.6500000,-1.8900000,226.0000000,92300.0000000,142.0000000,92235260.0000000
FUTSTKTATACHEM28-AUG-2025,1005.7000000,985.0000000,1009.3500000,985.0000000,986.5500000,986.5500000,-1.9000000,11075.0000000,3511950.0000000,5403.0000000,3488708470.0000000
FUTSTKABFRL28-AUG-2025,75.1300000,74.9700000,74.9700000,72.9400000,73.2200000,73.2200000,-2.5400000,19181.0000000,18535400.0000000,7129.0000000,1369112420.0000000
FUTSTKABFRL31-JUL-2025,74.7700000,74.1400000,74.5300000,72.4700000,72.8400000,72.8700000,-2.5400000,1246.0000000,18426200.0000000,7087.0000000,1354620722.0000000
FUTSTKACC31-JUL-2025,1809.4000000,1805.0000000,1826.0000000,1777.7000000,1785.6000000,1788.4000000,-1.1600000,3016.0000000,1547400.0000000,5158.0000000,2789242230.0000000
FUTSTKADANIENT31-JUL-2025,2531.9000000,2505.0000000,2519.8000000,2418.7000000,2425.6000000,2430.7000000,-3.9900000,3920.0000000,3773700.0000000,12579.0000000,9355400490.0000000
FUTSTKADANIENT30-SEP-2025,2562.7000000,2542.8000000,2542.9000000,2447.7000000,2454.7000000,2454.7000000,-4.2100000,564.0000000,138000.0000000,460.0000000,343933530.0000000
FUTSTKADANIENT28-AUG-2025,2544.7000000,2525.2000000,2529.9000000,2430.0000000,2440.1000000,2440.1000000,-4.1100000,59720.0000000,6380700.0000000,21269.0000000,15853209480.0000000
FUTSTKADANIGREEN31-JUL-2025,1010.2000000,992.8000000,1008.7000000,978.9000000,983.3000000,984.7000000,-2.5200000,1354.0000000,4750200.0000000,7917.0000000,4735159920.0000000
FUTSTKADANIGREEN30-SEP-2025,1022.6000000,1007.4000000,1018.4000000,991.2000000,994.5000000,994.5000000,-2.7400000,466.0000000,141000.0000000,235.0000000,141955800.0000000
FUTSTKADANIGREEN28-AUG-2025,1015.8000000,1000.8000000,1013.5000000,983.9000000,988.2000000,988.2000000,-2.7100000,32561.0000000,6726000.0000000,11210.0000000,6734122500.0000000
FUTSTKBAJFINANCE28-AUG-2025,890.0500000,875.5000000,891.0000000,873.5000000,883.9500000,883.9500000,-0.6800000,119973.0000000,24008250.0000000,32011.0000000,21213656325.0000000
FUTSTKBAJFINANCE30-SEP-2025,895.5500000,885.0000000,895.8500000,882.4000000,889.1500000,889.1500000,-0.7100000,3853.0000000,790500.0000000,1054.0000000,701762775.0000000
FUTSTKBAJFINANCE31-JUL-2025,884.7000000,873.0500000,886.6500000,866.6000000,879.8000000,881.2000000,-0.3900000,3685.0000000,18422250.0000000,24563.0000000,16195407037.5000000
FUTSTKBHARATFORG28-AUG-2025,1189.6000000,1169.3000000,1184.7000000,1134.7000000,1171.5000000,1171.5000000,-1.5200000,22044.0000000,4905500.0000000,9811.0000000,5725523600.0000000
FUTSTKBHARATFORG31-JUL-2025,1186.8000000,1151.7000000,1180.8000000,1142.7000000,1167.4000000,1169.1000000,-1.4900000,1193.0000000,2544000.0000000,5088.0000000,2961969950.0000000
FUTSTKBHARATFORG30-SEP-2025,1195.8000000,1163.6000000,1190.0000000,1152.3000000,1177.2000000,1177.2000000,-1.5500000,337.0000000,128500.0000000,257.0000000,150710250.0000000
FUTSTKCAMS31-JUL-2025,3889.7000000,3739.3000000,3801.7000000,3683.1000000,3741.8000000,3737.1000000,-3.9200000,3380.0000000,1198350.0000000,7989.0000000,4499623635.0000000
FUTSTKCAMS28-AUG-2025,3892.5000000,3781.0000000,3809.8000000,3684.9000000,3748.1000000,3748.1000000,-3.7000000,13884.0000000,1629150.0000000,10861.0000000,6127615395.0000000
FUTSTKCAMS30-SEP-2025,3904.2000000,3754.9000000,3811.8000000,3707.5000000,3765.0000000,3765.0000000,-3.5600000,366.0000000,34050.0000000,227.0000000,128399985.0000000
