MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,BULKCORP,BULKCORP INTERNATIONAL L,        65.25,        62.00,        62.00,        62.00,        62.00,                    74400.00,1200, ,       125.85,        50.55
N,SM,CPS,C P S SHAPERS LIMITED,       927.20,       973.00,       973.55,       970.00,       972.00,                  9048975.00,9300, ,       973.55,       394.00
N,ST,C2C,C2C ADVANCED SYSTEMS LTD,       689.50,       693.00,       694.60,       671.30,       675.00,                  9397860.00,13800, ,       954.00,       250.15
N,SM,CADSYS,CADSYS (INDIA) LIMITED,        68.20,        69.35,        69.35,        68.45,        68.45,                    68900.00,1000, ,       139.90,        55.05
N,SM,CANARYS,CANARYS AUTOMATIONS LTD,        28.50,        28.60,        28.60,        28.25,        28.30,                  1136800.00,40000, ,        46.40,        23.50
N,SM,CUDML,CASH UR DRIVE MARKETING L,       133.65,       135.00,       136.90,       135.00,       135.30,                  1492650.00,11000, ,       165.00,       130.00
N,SM,CEDAAR,CEDAAR TEXTILE LIMITED,        96.00,        97.90,        98.00,        92.00,        93.50,                  1432900.00,15000, ,       136.30,        75.00
N,SM,CELLPOINT,CELL POINT (INDIA) LTD,        17.50,        17.40,        17.40,        17.40,        17.40,                    41760.00,2400, ,        32.60,        15.60
N,SM,CELLECOR,CELLECOR GADGETS LIMITED,        29.05,        29.45,        31.30,        28.60,        30.25,                 33079050.00,1086000, ,        81.50,        25.75
N,SM,CMNL,CHAMAN METALLICS LIMITED,       156.55,       161.95,       161.95,       156.00,       156.00,                  4897350.00,30750, ,       178.80,       103.70
N,SM,CHAMUNDA,CHAMUNDA ELECTRICAL LTD,        50.10,        51.45,        51.45,        49.90,        49.90,                  1357200.00,27000, ,        71.00,        36.10
N,ST,CHANDAN,CHANDAN HEALTHCARE LTD,       317.65,       314.90,       332.90,       304.00,       326.00,                 14667480.00,45600, ,       350.80,       140.00
N,SM,CHAVDA,CHAVDA INFRA LIMITED,        99.80,       100.95,       101.70,        99.85,       100.15,                  1308900.00,13000, ,       186.00,        98.00
N,SM,CHETANA,CHETANA EDUCATION LIMITED,        73.85,        73.80,        75.00,        73.80,        75.00,                   596400.00,8000, ,       129.00,        69.00
N,SM,CLASSICEIL,CLASSIC ELECTRODE (IND) L,        92.90,        95.00,        95.00,        92.00,        92.30,                  1193920.00,12800, ,       113.90,        80.50
N,ST,COMMITTED,COMMITTED CARGO CARE LTD,       222.05,       210.95,       210.95,       210.95,       210.95,                   337520.00,1600, ,       274.05,        48.50
N,SM,CONNPLEX,CONNPLEX CINEMAS LIMITED,       203.75,       204.25,       225.00,       204.10,       222.70,                 64848120.00,296800, ,       229.00,       177.00
N,SM,CONTI,CONTINENTAL SEED CHEM LTD,        24.25,        23.40,        23.40,        23.40,        23.40,                    77992.20,3333, ,        49.00,        20.85
N,SM,COOLCAPS,COOL CAPS INDUSTRIES LTD,        81.65,        82.00,        83.00,        81.05,        82.80,                 12535625.00,152500, ,       931.00,        75.00
N,SM,CRAYONS,CRAYONS ADVERTISING LTD,        48.50,        49.75,        50.60,        49.75,        50.60,                   200050.00,4000, ,       113.90,        42.00
N,SM,CGRAPHICS,CREATIVE GRAPHICS S IND L,       209.65,       209.65,       210.80,       208.00,       209.95,                 13597040.00,64800, ,       259.00,       134.40
N,SM,CLSL,CROP LIFE SCIENCE LIMITED,        55.00,        55.00,        56.00,        55.00,        55.00,                  4299000.00,78000, ,        62.80,        41.50
N,SM,CURRENT,CURRENT INFRAPROJECTS LTD,       146.50,       143.60,       146.60,       143.25,       146.55,                  2771680.00,19200, ,       163.00,       123.05
N,SM,CMRSL,CYBER MEDIA RES & SER LTD,        83.25,        83.25,        83.25,        83.25,        83.25,                    66600.00,800, ,       139.95,        64.00
N,SM,DANISH,DANISH POWER LIMITED,       842.60,       840.00,       840.00,       827.00,       832.30,                 20358817.50,24450, ,      1316.00,       541.50
N,SM,DCCL,DAR CREDIT & CAPITAL LTD,        55.00,        55.00,        55.45,        54.00,        54.00,                   766900.00,14000, ,        66.00,        44.00
N,SM,DCG,DCG CABLES & WIRES LTD,        62.95,        62.95,        64.00,        61.50,        63.00,                   601020.00,9600, ,       141.10,        55.00
N,SM,DENEERS,DE NEERS TOOLS LIMITED,       175.20,       172.70,       175.90,       169.60,       171.20,                  4960440.00,28800, ,       374.80,       160.00
N,SM,DECCANTRAN,DECCAN TRANSCON LEASING L,        33.75,        33.30,        33.30,        33.30,        33.30,                   159840.00,4800, ,        69.80,        28.80
N,SM,DELAPLEX,DELAPLEX LIMITED,       153.70,       150.00,       152.00,       148.00,       152.00,                  3226470.00,21600, ,       248.00,       126.00
N,SM,DELTIC,DELTA AUTOCORP LIMITED,        59.90,        60.95,        60.95,        59.25,        59.25,                   956450.00,16000, ,       183.75,        58.25
N,SM,DHANLAXMI,DHANLAXMI CROP SCIENCE L,        42.10,        42.10,        42.10,        42.00,        42.00,                   420200.00,10000, ,       110.00,        38.70
N,SM,DRL,DHANUKA REALTY LIMITED,        24.90,        26.10,        26.10,        23.65,        23.65,                   598500.00,24000, ,        34.00,        12.50
N,SM,DHARIWAL,DHARIWALCORP LIMITED,       193.65,       195.60,       200.00,       195.60,       197.40,                  7360620.00,37200, ,       229.00,        90.50
N,SM,DTL,DIENSTEN TECH LIMITED,       165.00,       163.00,       163.00,       163.00,       163.00,                   195600.00,1200, ,       188.80,       105.00
N,SM,DIGIKORE,DIGIKORE STUDIOS LIMITED,        85.30,        83.15,        83.15,        78.10,        80.55,                  2704380.00,33600, ,       369.00,        78.10
N,ST,DIVINEHIRA,DIVINE HIRA JEWELLERS LTD,       112.45,       112.00,       113.90,       110.00,       113.35,                  1434080.00,12800, ,       116.95,        43.00
G,ST,DPEL,DIVINE POWER ENERGY LTD,       267.00,       267.10,       272.30,       267.10,       272.00,                  4889850.00,18000, ,       282.25,        92.05
N,SM,DIVYADHAN,DIVYADHAN RECYCLING IND L,        44.10,        45.80,        45.80,        41.90,        42.00,                   602800.00,14000, ,        86.20,        34.50
G,ST,DHTL,DOCMODE HEALTH TECH LTD,       117.30,       119.60,       119.60,       118.00,       118.00,                   760320.00,6400, ,       119.60,        36.90
N,SM,DOLLEX,DOLLEX AGROTECH LIMITED,        41.00,        39.70,        40.75,        39.65,        40.05,                   798000.00,20000, ,        44.65,        32.00
N,SM,DRONE,DRONE DESTINATION LIMITED,        80.00,        82.15,        88.00,        82.15,        88.00,                  7324600.00,84500, ,       235.00,        64.55
N,SM,DUCOL,DUCOL ORGS AND COLOURS LT,       180.05,       181.00,       184.35,       174.90,       183.45,                 12018720.00,67200, ,       191.00,        93.50
N,SM,DUGLOBAL,DUDIGITAL GLOBAL LIMITED,        35.25,        33.10,        34.30,        33.00,        33.20,                  2506500.00,75000, ,        76.95,        32.45
N,SM,DURLAX,DURLAX TOP SURFACE LTD,        42.50,        42.50,        42.50,        42.50,        42.50,                    85000.00,2000, ,        65.00,        33.10
N,SM,DYNAMIC,DYNAMIC SRVCS & SEC LTD,       119.20,       120.10,       123.70,       118.05,       118.75,                  2599225.00,21500, ,       404.35,       107.30
N,SM,EFACTOR,E FACTOR EXPERIENCES LTD,       287.65,       300.00,       318.00,       300.00,       308.85,                 22114160.00,71200, ,       328.80,       127.50
N,SM,ECOLINE,ECOLINE EXIM LIMITED,       134.55,       135.00,       140.00,       135.00,       139.45,                  6039950.00,44000, ,       141.50,       130.50
N,SM,EFFWA,EFFWA INFRA & RESEARCH L,       203.55,       205.00,       211.85,       203.75,       208.05,                  4727220.00,22800, ,       272.95,       147.55
N,SM,EFORCE,ELECTRO FORCE (INDIA) LTD,        42.35,        43.95,        47.00,        43.95,        45.00,                  2329500.00,51600, ,        69.00,        29.20
N,SM,ELGNZ,ELEGANZ INTERIORS LIMITED,       130.45,       133.00,       136.00,       127.00,       130.55,                 11102950.00,84000, ,       163.50,        95.00
N,SM,EMAPARTNER,EMA PARTNERS INDIA LTD,       102.10,       100.05,       102.50,       100.05,       102.00,                   713200.00,7000, ,       158.80,        87.05
N,SM,ETML,EMERALD TYRE MANUF LTD,       118.20,       118.20,       118.20,       118.00,       118.00,                   566640.00,4800, ,       198.95,        96.10
N,SM,EMKAYTOOLS,EMKAY TAP & CUT. TOOL LTD,       141.50,       141.50,       142.40,       139.05,       139.65,                   380812.50,2700, ,       521.85,       138.00
N,SM,ETL,EMKAY TOOLS LIMITED,       860.00,       845.00,       895.00,       840.05,       840.05,                  3449257.50,4050, ,      1235.00,       721.10
N,SM,EMMIL,ENERGY MISSION MACH IND L,       178.00,       178.00,       178.00,       174.10,       176.40,                   485700.00,2750, ,       453.00,       162.10
N,SM,ENFUSE,ENFUSE SOLUTIONS LIMITED,       205.00,       215.00,       215.00,       215.00,       215.00,                   129000.00,600, ,       284.00,       171.00
N,SM,ENSER,ENSER COMMUNICATIONS LTD,        22.00,        21.20,        21.20,        21.20,        21.20,                   318000.00,15000, ,       321.00,        13.35
N,SM,ENVIRO,ENVIROTECH SYSTEMS LTD,       154.00,       162.00,       169.00,       160.00,       162.00,                  5697950.00,35000, ,       173.00,        89.40
N,SM,EEPL,EPPELTONE ENGINEERS LTD,       164.70,       161.00,       166.00,       160.05,       164.10,                  9430600.00,58000, ,       267.90,       160.05
N,SM,ESCONET,ESCONET TECHNOLOGIES LTD,       223.50,       228.00,       234.65,       228.00,       234.65,                  3263640.00,14000, ,       502.95,       150.15
N,SM,ESPRIT,ESPRIT STONES LIMITED,        73.55,        75.25,        75.35,        71.75,        74.50,                  2456000.00,33600, ,       159.45,        66.70
N,SM,ESFL,ESSEN SPECIALITY FILMS L,       219.10,       216.40,       222.95,       211.60,       218.60,                 16509168.00,75960, ,       757.25,       211.60
N,SM,EXCELLENT,EXCELLENT WIRES N PACK L,        44.55,        43.65,        43.65,        43.65,        43.65,                    69840.00,1600, ,        76.00,        42.00
N,SM,FALCONTECH,FALCON TECHNOPROJ IND LTD,        17.70,        17.75,        18.70,        17.55,        17.55,                   128820.00,7200, ,        63.95,        14.85
N,SM,FELIX,FELIX INDUSTRIES LTD.,       177.15,       178.00,       180.00,       177.05,       179.50,                  2140800.00,12000, ,       236.00,       108.00
N,SM,FIDEL,FIDEL SOFTECH LIMITED,       166.55,       169.00,       170.00,       169.00,       170.00,                   847850.00,5000, ,       234.00,       109.00
N,ST,FLYSBS,FLYSBS AVIATION LIMITED,       572.95,       572.95,       576.50,       555.00,       561.35,                 16890480.00,30000, ,       790.00,       427.50
N,SM,FONEBOX,FONEBOX RETAIL LIMITED,        96.00,        94.00,        94.00,        94.00,        94.00,                   376000.00,4000, ,       177.80,        68.85
N,SM,FORCAS,FORCAS STUDIO LIMITED,       121.05,       121.00,       121.00,       120.45,       120.45,                  1354320.00,11200, ,       129.80,        65.05
N,SM,FORGEAUTO,FORGE AUTO INTERNATION L,       139.95,       139.00,       139.00,       132.05,       138.00,                  1947480.00,14400, ,       175.50,        60.00
N,SM,FRESHARA,FRESHARA AGRO EXPORTS LTD,       166.70,       163.15,       164.50,       160.00,       161.00,                 12426240.00,76800, ,       221.95,       110.00
N,SM,FROG,FROG CELLSAT LIMITED,       217.15,       219.00,       220.00,       212.45,       215.40,                  2936420.00,13600, ,       458.00,       211.15
N,SM,GML,GALAXY MEDICARE LIMITED,        21.25,        21.70,        21.80,        21.00,        21.05,                   814200.00,38000, ,        54.00,        18.75
N,SM,GGBL,GANESH GREEN BHARAT LTD,       415.20,       415.00,       423.00,       402.60,       406.60,                 26366175.00,64500, ,       635.00,       282.20
N,SM,GANESHIN,GANESH INFRAWORLD LIMITED,       215.35,       212.50,       227.00,       195.05,       225.50,                 90773480.00,428000, ,       279.80,       106.25
N,SM,GANGABATH,GANGA BATH FITTINGS LTD,        25.60,        25.60,        25.90,        25.45,        25.45,                   692700.00,27000, ,        59.00,        23.05
N,SM,GRCL,GAYATRI RUBB AND CHEM LTD,       404.35,       410.00,       410.00,       400.00,       407.70,                   304425.00,750, ,       525.25,       315.60
N,SM,GIRIRAJ,GIRIRAJ CIVIL DEVP LTD,       238.30,       231.00,       238.00,       226.70,       226.70,                   976150.00,4250, ,       409.00,       179.00
N,SM,GLOBALPET,GLOBAL PET INDUSTRIES LTD,       142.00,       142.00,       142.00,       142.00,       142.00,                   213000.00,1500, ,       158.00,        93.10
N,SM,GICL,GLOBE INTL CARRIERS LTD,        43.30,        43.50,        43.50,        42.00,        42.70,                  6639300.00,156000, ,       179.00,        40.30
N,SM,GSTL,GLOBESECURE TECHNO LTD,         6.80,         6.50,         6.70,         6.50,         6.60,                   456600.00,70000, ,        51.90,         6.50
N,SM,GOLDSTAR,GOLDSTAR POWER LIMITED,         7.90,         7.95,         8.25,         7.95,         8.20,                   366750.00,45000, ,        13.50,         7.20
N,SM,GOYALSALT,GOYAL SALT LIMITED,       180.00,       175.05,       177.00,       175.00,       177.00,                  1800060.00,10200, ,       238.00,       142.00
N,SM,GPECO,GP ECO SOLUTIONS INDIA L,       496.45,       485.00,       568.00,       485.00,       530.20,                 86949930.00,162600, ,       616.50,       226.05
N,ST,GCHOTELS,GRAND CONTINENT HOTELS L,       206.65,       206.00,       206.65,       202.00,       202.00,                  4897920.00,24000, ,       255.00,       101.90
N,SM,GRAPHISAD,GRAPHISADS LIMITED,        33.05,        34.00,        34.70,        34.00,        34.00,                   413340.00,12000, ,        80.50,        31.30
N,SM,GREENCHEF,GREENCHEF APPLIANCES LTD,        61.25,        61.90,        62.90,        61.80,        62.65,                   994200.00,16000, ,        90.00,        54.55
N,SM,GREENLEAF,GREENLEAF ENVIROTECH LTD,       134.50,       136.00,       136.60,       129.00,       134.20,                  2159500.00,16000, ,       144.80,       119.65
N,SM,GSMFOILS,GSM FOILS LIMITED,       207.10,       208.60,       210.00,       208.00,       208.00,                  1877050.00,9000, ,       255.15,        75.50
N,SM,GURUNANAK,GURUNANAK AGRICULTUR IN L,        33.00,        33.50,        35.50,        32.55,        34.85,                  2635360.00,76800, ,        60.00,        29.20
N,SM,WHITEFORCE,HAPPY SQUARE OUTSOURC S L,        74.00,        74.15,        75.75,        71.00,        71.00,                   819040.00,11200, ,        94.80,        54.85
N,SM,HIGREEN,HI GREEN CARBON LIMITED,       195.25,       195.00,       199.30,       193.00,       198.00,                  6418640.00,32800, ,       340.90,       183.25
N,SM,HOACFOODS,HOAC FOODS INDIA LIMITED,       267.45,       262.50,       265.00,       262.50,       265.00,                   395625.00,1500, ,       289.00,       105.00
N,SM,HOLMARC,HOLMARC OPTO MECHATRO L,       108.25,       113.50,       113.65,       113.50,       113.65,                   170362.50,1500, ,       214.00,       100.30
N,SM,HOMESFY,HOMESFY REALTY LIMITED,       253.95,       241.25,       241.30,       241.25,       241.25,                   361890.00,1500, ,       545.90,       200.45
N,ST,HPTL,HP TELECOM INDIA LIMITED,       290.00,       290.00,       290.00,       290.00,       290.00,                   348000.00,1200, ,       327.40,       101.05
N,SM,HRHNEXT,HRH NEXT SERVICES LIMITED,        37.00,        36.50,        36.50,        36.50,        36.50,                    54750.00,1500, ,       125.60,        28.75
N,SM,IBLFL,IBL FINANCE LIMITED,        67.95,        67.65,        67.65,        67.65,        67.65,                   541200.00,8000, ,        74.00,        45.45
N,ST,IDEALTECHO,IDEAL TECHNOPLAST IND LTD,       205.00,       201.00,       201.00,       195.00,       195.00,                   597000.00,3000, ,       221.00,        88.00
N,SM,IDENTICAL,IDENTICAL BRAINS STUDIO L,        38.10,        38.00,        38.00,        38.00,        38.00,                    76000.00,2000, ,        99.75,        33.15
N,ST,IEML-RE,INDIAN EMULSIFERS LTD,        22.85,        21.90,        21.90,        15.60,        17.00,                  2791150.00,156250, ,        34.00,        15.60
N,SM,IEML,INDIAN EMULSIFIERS LTD,       103.25,       105.50,       107.85,        96.75,        99.75,                 21729450.00,216500, ,       309.85,        96.75
N,SM,IPHL,INDIAN PHOSPHATE LIMITED,        51.90,        51.90,        52.50,        51.20,        51.20,                   310440.00,6000, ,       105.95,        42.40
N,SM,INFINIUM,INFINIUM PHARMACHEM LTD,       252.00,       256.50,       256.50,       244.55,       249.60,                  2228975.00,9000, ,       337.50,       213.90
N,ST,INFLUX,INFLUX HEALTHTECH LIMITED,       172.25,       172.25,       175.00,       172.25,       174.60,                  1042680.00,6000, ,       208.00,       120.00
N,SM,INFOLLION,INFOLLION RESEARCH SER L,       391.00,       390.00,       402.00,       371.00,       396.85,                  9362160.00,24400, ,       575.00,       340.90
N,SM,INNOMET,INNOMET ADVANCED MATERI L,       132.25,       138.00,       138.70,       128.50,       131.90,                  2068920.00,15600, ,       216.00,       100.00
N,ST,ITTL,INNOVATIVE TYRE & TUBE LT,        89.05,        87.30,        87.30,        87.30,        87.30,                    18333.00,210, ,       152.40,        18.60
N,SM,INSPIRE,INSPIRE FILMS LIMITED,        15.15,        15.50,        16.25,        15.00,        15.85,                   768700.00,50000, ,        32.00,        15.00
N,SM,INTEGRITY,INTEGRITY INFRABUILD DE L,       100.25,       100.60,       100.60,       100.60,       100.60,                   120720.00,1200, ,       110.10,        81.70
N,SM,INM,INTERIORS & MORE LIMITED,       638.95,       638.95,       639.95,       620.05,       622.00,                  2437755.00,3900, ,       689.00,       284.50
N,SM,ISHAN,ISHAN INTERNATIONAL LTD,         0.90,         0.85,         0.90,         0.85,         0.90,                   206400.00,240000, ,         2.65,         0.85
N,SM,ITALIANE,ITALIAN EDIBLES LIMITED,        33.40,        32.55,        33.00,        32.55,        33.00,                   196700.00,6000, ,        57.00,        29.20
