MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,AMJUMBO,A AND M JUMBO BAGS LTD,         8.20,         8.20,         8.20,         7.80,         7.80,                   128000.00,16000, ,         8.20,         6.40
N,SM,AAKAAR,AAKAAR MEDICAL TECHNO LTD,        85.90,        85.30,        85.30,        84.00,        84.00,                   541680.00,6400, ,       105.00,        62.00
N,ST,AARADHYA,AARADHYA DISPOSAL INDUS L,       161.00,       167.40,       167.40,       162.30,       162.30,                   593640.00,3600, ,       182.00,        97.50
N,SM,AATMAJ,AATMAJ HEALTHCARE LIMITED,        20.15,        20.15,        20.55,        20.05,        20.55,                   244000.00,12000, ,        33.50,        14.50
N,ST,ABHAPOWER,ABHA POWER N STEEL LTD,        38.85,        39.65,        39.65,        37.75,        38.10,                   428720.00,11200, ,        81.90,        26.45
N,SM,AILIMITED,ABHISHEK INTEGRATIONS LTD,        42.10,        42.10,        42.10,        40.00,        40.20,                   246900.00,6000, ,        90.90,        36.70
N,SM,ABSMARINE,ABS MARINE SERVICES LTD,       203.45,       205.00,       216.90,       200.00,       213.35,                 31886600.00,151500, ,       270.90,        92.10
N,ST,ACCENTMIC,ACCENT MICROCELL LIMITED,       271.00,       272.00,       273.00,       267.00,       267.00,                  1483750.00,5500, ,       324.00,       180.00
N,SM,ACCPL,ACCRETION PHARMA LIMITED,        56.80,        58.90,        58.90,        58.90,        58.90,                    70680.00,1200, ,        82.95,        53.80
N,SM,ACTIVEINFR,ACTIVE INFRASTRUCTURES L,       170.00,       170.00,       170.00,       170.00,       170.00,                   102000.00,600, ,       190.00,       147.05
N,SM,LAWSIKHO,ADDICTIVE LEARNING TECH L,       139.30,       140.00,       142.95,       139.00,       139.00,                  5225600.00,37500, ,       424.00,       125.60
N,SM,AERON,AERON COMPOSITE LIMITED,       111.05,       108.00,       109.10,       107.95,       109.00,                  1407700.00,13000, ,       202.20,        99.00
N,SM,AESTHETIK,AESTHETIK ENGINEERS LTD,       116.00,       115.85,       115.85,       112.00,       112.10,                  1821000.00,16000, ,       155.60,        60.00
N,SM,AGARWALFT,AGARWAL FLOAT GLASS I LTD,        56.00,        55.00,        55.00,        54.00,        54.00,                   246000.00,4500, ,        88.90,        42.05
N,SM,AGARWALTUF,AGARWAL TOUGH GLASS IND L,       142.45,       141.05,       141.05,       133.05,       135.35,                  7087740.00,51600, ,       174.05,        81.00
N,ST,AGNI,AGNI GREEN POWER LTD,        24.10,        24.10,        24.20,        24.00,        24.00,                   421500.00,17500, ,        54.70,        17.90
N,SM,AIMTRON,AIMTRON ELECTRONICS LTD,       723.60,       721.10,       760.00,       721.10,       755.20,                 58049460.00,78000, ,       835.00,       358.00
N,SM,AKANKSHA,AKANKSHA POWER N INFRA L,        88.70,        90.25,        90.25,        87.20,        89.25,                  1767050.00,20000, ,       168.85,        82.00
N,ST,AKIKO,AKIKO GLOBAL SERVICES L,       278.40,       275.60,       275.60,       265.00,       269.00,                  3015360.00,11200, ,       285.20,        62.00
N,SM,ALLETEC,ALL E TECHNOLOGIES LTD,       260.55,       265.60,       265.75,       256.30,       262.45,                  7620220.00,29200, ,       633.00,       250.05
N,SM,ALPEXSOLAR,ALPEX SOLAR LIMITED,      1214.90,      1221.00,      1236.00,      1160.00,      1177.85,                 66284180.00,55200, ,      1449.70,       495.00
N,SM,ALUWIND,ALUWIND INFRA-TECH LTD,        89.00,        86.60,        90.20,        86.60,        90.20,                  1862475.00,21000, ,        95.80,        48.00
N,SM,AMBEY,AMBEY LABORATORIES LTD,        39.75,        40.05,        40.05,        40.00,        40.00,                  2080100.00,52000, ,        75.00,        31.85
N,SM,AMEYA,AMEYA PRECISION ENG LTD,        98.85,       100.00,       100.00,       100.00,       100.00,                   100000.00,1000, ,       127.25,        93.00
N,SM,AMIABLE,AMIABLE LOGISTICS (I) LTD,        67.85,        63.60,        67.60,        63.60,        67.60,                   315200.00,4800, ,       110.00,        59.90
N,ST,AMCL,ANB METAL CAST LIMITED,       300.45,       286.05,       300.00,       286.00,       300.00,                  1643240.00,5600, ,       314.00,       161.70
N,SM,AISL,ANI INTEGRATED SERV LTD.,        91.50,        90.25,        90.25,        90.25,        90.25,                    54150.00,600, ,       202.40,        77.00
N,SM,ANLON,ANLON TECHNOLOGY SOL LTD,       390.45,       386.00,       389.00,       379.10,       386.45,                  3837720.00,10000, ,       497.00,       239.00
N,SM,ANNAPURNA,ANNAPURNA SWADISHT LTD,       249.85,       252.00,       252.00,       241.00,       247.00,                 18166850.00,73750, ,       441.00,       228.00
N,ST,ANONDITA,ANONDITA MEDICARE LIMITED,       490.15,       514.65,       514.65,       514.65,       514.65,                  3087900.00,6000, ,       514.65,       261.75
N,SM,ANYA,ANYA POLYTECH & FERTI LTD,        24.05,        23.40,        23.40,        23.40,        23.40,                   819000.00,35000, ,        29.05,        16.20
N,SM,APEXECO,APEX ECOTECH LIMITED,       127.35,       125.60,       131.50,       125.60,       131.50,                  1857200.00,14400, ,       169.00,        73.00
N,SM,APRAMEYA,APRAMEYA ENGINEERING LTD,       273.00,       275.00,       281.00,       275.00,       277.00,                  3337000.00,12000, ,       307.95,        61.00
N,SM,ARCIIL,ARC INSULATION & INSU LTD,        98.00,       107.90,       117.00,       106.65,       108.50,                  6357850.00,57000, ,       145.00,        90.00
N,SM,ARHAM,ARHAM TECHNOLOGIES LTD,       109.20,       110.25,       111.00,       105.10,       107.35,                  2840100.00,26000, ,       162.95,        70.80
N,SM,ARISTO,ARISTO BIO T AND LIFESC L,       130.00,       134.75,       134.90,       125.05,       125.05,                  1044480.00,8000, ,       164.00,        84.55
N,SM,ARUNAYA,ARUNAYA ORGANICS LIMITED,        20.75,        20.20,        21.75,        20.20,        21.65,                   469200.00,22000, ,        46.50,        20.20
N,SM,ARVINDPORT,ARVIND PORT AND INFRA LTD,        60.05,        61.90,        63.05,        57.05,        62.65,                  7369200.00,120000, ,       112.00,        44.50
N,SM,ASHALOG,ASHAPURA LOGISTICS LTD,        68.00,        69.25,        69.25,        67.70,        67.70,                   204700.00,3000, ,       108.90,        60.00
G,ST,ASLIND,ASL INDUSTRIES LIMITED,        78.70,        80.25,        80.25,        80.25,        80.25,                   160500.00,2000, ,        80.25,        29.00
N,SM,ATCENERGY,ATC ENERGIES SYSTEM LTD,        54.95,        56.90,        56.90,        53.10,        53.65,                  2018760.00,37200, ,       115.35,        44.00
N,SM,ATMASTCO,ATMASTCO LIMITED,       196.15,       197.85,       197.95,       192.55,       193.60,                  4370540.00,22400, ,       300.80,       162.20
N,SM,AURDIS,AURANGABAD DISTILLERY LTD,       135.00,       136.25,       136.25,       136.25,       136.25,                    85156.25,625, ,       303.00,       130.60
N,SM,AUROIMPEX,AURO IMPEX & CHEMICALS L,        47.40,        49.50,        49.50,        47.80,        47.80,                   309360.00,6400, ,        89.70,        43.95
N,SM,APS,AUSTRALIAN PREM SOLAR I L,       528.80,       526.00,       535.05,       524.00,       525.30,                 19049500.00,36000, ,       654.00,       345.00
N,SM,AVIANSH,AVI ANSH TEXTILE LIMITED,       116.00,       117.00,       117.40,       116.50,       117.00,                   584900.00,5000, ,       122.00,        77.60
N,SM,AVPINFRA,AVP INFRACON LIMITED,       163.75,       166.00,       166.50,       161.05,       162.50,                 18750080.00,114400, ,       264.30,       118.45
N,SM,BAGDIGITAL,B.A.G.CONVERGENCE LIMITED,       122.50,       124.00,       137.00,       121.10,       125.55,                  5832720.00,46400, ,       137.00,        95.75
N,SM,BABAFP,BABA FOOD PROCESSING,        34.05,        34.50,        34.90,        34.10,        34.10,                   276000.00,8000, ,        63.50,        32.60
N,SM,BAHETI,BAHETI RECYCLING IND LTD,       580.05,       590.00,       596.00,       577.00,       578.50,                 11840118.75,20250, ,       649.90,       328.10
N,ST,BALAJIPHOS,BALAJI PHOSPHATES LIMITED,       130.00,       123.55,       132.00,       123.50,       125.15,                  3234100.00,26000, ,       184.70,        72.60
N,SM,BARFLEX,BARFLEX POLYFILMS LIMITED,        76.10,        78.50,        78.50,        77.10,        78.40,                   623000.00,8000, ,        82.40,        41.15
N,SM,BASILIC,BASILIC FLY STUDIO LTD,       384.70,       383.00,       394.90,       382.00,       386.10,                 10613475.00,27300, ,       509.80,       223.15
N,SM,BAWEJA,BAWEJA STUDIOS LIMITED,        43.80,        43.80,        44.45,        43.25,        44.45,                   140240.00,3200, ,        81.00,        42.40
N,SM,BEACON,BEACON TRUSTEESHIP LTD,        76.50,        75.10,        78.00,        75.10,        77.00,                   308050.00,4000, ,       118.90,        50.00
N,SM,BETA,BETA DRUGS LIMITED,      1835.50,      1849.95,      1895.00,      1821.20,      1871.55,                 14612162.25,7875, ,      2326.00,      1501.00
N,SM,BEWLTD,BEW ENGINEERING LIMITED,       132.80,       132.80,       132.80,       127.80,       130.55,                  1940100.00,15000, ,       345.00,       120.00
N,SM,BHADORA,BHADORA INDUSTRIES LTD,        89.40,        88.85,        90.00,        86.00,        89.75,                  6498900.00,73200, ,       128.85,        85.60
N,SM,BIKEWO,BIKEWO GREEN TECH LIMITED,        14.85,        14.00,        14.75,        13.75,        14.65,                   371400.00,26000, ,        34.10,        13.65
N,SM,BLUEPEBBLE,BLUE PEBBLE LIMITED,       154.60,       155.00,       157.90,       155.00,       157.45,                   500220.00,3200, ,       390.00,       150.00
N,SM,BLUEWATER,BLUE WATER LOGISTICS LTD,       154.95,       148.00,       150.00,       148.00,       150.00,                  1793950.00,12000, ,       187.20,       125.40
N,SM,BMETRICS,BOMBAY METRICS S C LTD,        47.75,        48.95,        51.00,        44.85,        46.00,                  6363400.00,139200, ,        68.95,        38.10
N,SM,BOSS,BOSS PACKAGING SOLU LTD,        44.00,        42.00,        44.00,        42.00,        43.50,                   345800.00,8000, ,        62.00,        36.55
N,SM,BRACEPORT,BRACE PORT LOGISTICS LTD,        73.00,        73.00,        73.00,        73.00,        73.00,                   116800.00,1600, ,       133.30,        69.00
