MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,AGUL,A G UNIVERSAL LIMITED,        62.75,        62.75,        62.75,        62.75,        62.75,                   125500.00,2000, ,        70.50,        37.30
N,SM,AAKAAR,AAKAAR MEDICAL TECHNO LTD,        74.20,        74.50,        75.60,        74.50,        75.60,                  1317360.00,17600, ,       105.00,        62.00
N,ST,AARADHYA,AARADHYA DISPOSAL INDUS L,       126.00,       129.00,       129.00,       124.05,       124.05,                   613020.00,4800, ,       182.00,        97.50
N,SM,AATMAJ,AATMAJ HEALTHCARE LIMITED,        19.45,        19.95,        20.00,        19.95,        20.00,                   119900.00,6000, ,        27.60,        14.50
N,ST,ABHAPOWER,ABHA POWER N STEEL LTD,        34.15,        34.20,        35.00,        33.65,        34.00,                   218960.00,6400, ,        81.90,        26.45
N,SM,ABSMARINE,ABS MARINE SERVICES LTD,       216.60,       215.90,       217.40,       206.00,       208.65,                 20925425.00,99000, ,       259.00,        92.10
N,SM,ACCENTMIC,ACCENT MICROCELL LIMITED,       300.00,       295.00,       309.75,       295.00,       305.70,                  7564775.00,25000, ,       337.95,       180.00
N,SM,ACCORD,ACCORD SYNERGY LIMITED,        24.00,        25.00,        25.20,        25.00,        25.20,                   251600.00,10000, ,        32.75,        17.50
N,SM,ACCPL,ACCRETION PHARMA LIMITED,        77.00,        81.00,        81.00,        77.00,        79.00,                  1607760.00,20400, ,        93.20,        53.80
N,SM,ACTIVEINFR,ACTIVE INFRASTRUCTURES L,       173.60,       173.60,       174.00,       170.00,       170.00,                  2585340.00,15000, ,       190.00,       147.05
N,SM,LAWSIKHO,ADDICTIVE LEARNING TECH L,       117.25,       116.50,       116.50,       104.20,       115.05,                  3840850.00,35000, ,       393.00,       104.20
N,SM,AUSL,ADITYA ULTRA STEEL LTD,        27.30,        29.95,        29.95,        29.95,        29.95,                   119800.00,4000, ,        58.75,        23.65
N,SM,AERON,AERON COMPOSITE LIMITED,       101.75,       101.10,       102.45,        99.55,       101.00,                  1209950.00,12000, ,       202.20,        99.00
N,SM,AESTHETIK,AESTHETIK ENGINEERS LTD,       111.00,       110.45,       110.45,       110.45,       110.45,                   110450.00,1000, ,       155.60,        60.00
N,SM,AGARWALFT,AGARWAL FLOAT GLASS I LTD,        45.00,        45.00,        47.50,        45.00,        47.50,                   415050.00,9000, ,        88.90,        42.05
N,SM,AGARWALTUF,AGARWAL TOUGH GLASS IND L,       137.35,       136.20,       136.95,       135.05,       136.00,                  2122620.00,15600, ,       174.05,        81.00
N,ST,AGNI,AGNI GREEN POWER LTD,        24.15,        23.30,        23.30,        23.30,        23.30,                   233000.00,10000, ,        54.70,        17.90
N,SM,AIMTRON,AIMTRON ELECTRONICS LTD,       983.00,      1000.00,      1000.00,       962.35,       975.05,                 39791230.00,40600, ,      1040.00,       358.00
N,SM,AKANKSHA,AKANKSHA POWER N INFRA L,        81.50,        81.65,        81.65,        77.85,        79.85,                  1835000.00,23000, ,       168.85,        77.85
N,ST,AKIKO,AKIKO GLOBAL SERVICES L,       277.25,       279.50,       281.00,       271.10,       271.10,                  1327160.00,4800, ,       299.30,        62.00
N,SM,ALCODIS,ALCOKRAFT DISTILLERIE LTD,       122.80,       123.00,       127.00,       123.00,       125.00,                   312500.00,2500, ,       274.20,       122.65
N,SM,ALLETEC,ALL E TECHNOLOGIES LTD,       255.10,       255.10,       259.00,       241.45,       247.40,                  6547460.00,26000, ,       633.00,       221.05
N,SM,ALPEXSOLAR,ALPEX SOLAR LIMITED,      1130.15,      1105.00,      1158.00,      1105.00,      1141.75,                 46439210.00,40700, ,      1449.70,       495.00
N,SM,ALUWIND,ALUWIND INFRA-TECH LTD,        84.50,        83.00,        83.00,        83.00,        83.00,                   124500.00,1500, ,        95.80,        48.00
N,SM,AMBANIORGO,AMBANI ORGOCHEM LIMITED,       105.00,       101.10,       102.00,       101.10,       102.00,                   305100.00,3000, ,       150.00,        96.15
N,SM,AMBEY,AMBEY LABORATORIES LTD,        40.35,        46.80,        46.80,        41.50,        41.85,                   428500.00,10000, ,        75.00,        31.05
N,SM,AMEYA,AMEYA PRECISION ENG LTD,       111.00,       111.00,       111.00,       111.00,       111.00,                   111000.00,1000, ,       127.25,        93.00
N,ST,AMCL,ANB METAL CAST LIMITED,       311.55,       320.00,       327.10,       304.80,       327.10,                 24158720.00,76000, ,       369.25,       161.70
