MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,BASILIC,BASILIC FLY STUDIO LTD,       375.60,       373.00,       385.00,       356.85,       357.45,                 13980435.00,38400, ,       509.80,       223.15
N,SM,BAWEJA,BAWEJA STUDIOS LIMITED,        49.50,        50.00,        50.00,        50.00,        50.00,                   120000.00,2400, ,        88.00,        44.00
N,SM,BEACON,BEACON TRUSTEESHIP LTD,        53.60,        52.10,        55.75,        51.00,        51.80,                  2394800.00,46000, ,       128.95,        50.00
N,SM,BETA,BETA DRUGS LIMITED,      1804.00,      1850.00,      1853.90,      1791.10,      1819.75,                  6835473.75,3780, ,      2326.00,      1501.00
N,SM,BEWLTD,BEW ENGINEERING LIMITED,       143.00,       143.00,       143.00,       138.00,       139.10,                  1893575.00,13500, ,      1505.00,       134.10
N,SM,BHADORA,BHADORA INDUSTRIES LTD,        99.95,       102.00,       102.00,        97.00,        97.90,                  2503320.00,25200, ,       128.85,        85.60
N,SM,BIKEWO,BIKEWO GREEN TECH LIMITED,        15.15,        15.05,        15.05,        15.00,        15.00,                    90100.00,6000, ,        46.90,        14.00
N,SM,BLUEPEBBLE,BLUE PEBBLE LIMITED,       177.90,       173.00,       175.45,       172.90,       174.00,                  1664860.00,9600, ,       390.00,       167.20
N,SM,BLUEWATER,BLUE WATER LOGISTICS LTD,       150.00,       150.00,       156.90,       149.95,       150.00,                 12226750.00,81000, ,       187.20,       125.40
N,SM,BMETRICS,BOMBAY METRICS S C LTD,        48.50,        48.50,        48.50,        48.50,        48.50,                    38800.00,800, ,       139.50,        38.10
N,SM,CADSYS,CADSYS (INDIA) LIMITED,        61.00,        58.40,        58.40,        57.95,        57.95,                   319175.00,5500, ,       162.80,        57.95
N,SM,CANARYS,CANARYS AUTOMATIONS LTD,        30.70,        30.25,        31.50,        30.25,        30.60,                  1714600.00,56000, ,        46.40,        23.50
N,SM,CBAZAAR,NET AVENUE TECHNOLOGIES L,         3.95,         3.95,         3.95,         3.75,         3.75,                   573600.00,152000, ,        17.45,         3.75
N,SM,CEDAAR,CEDAAR TEXTILE LIMITED,        95.35,        98.75,        98.75,        95.00,        95.00,                   484500.00,5000, ,       136.30,        92.55
