Sectoral Index,Symbol,Spot,M_o_M%,Future Price,Basis,Rollover%,Avg. Roll Over,Rollover cost,Avg. Rollover Cost,Diff Rollover%,Diff Rollover Cost
0,AARTIIND,442.35,11.85,444.35,2.00,87.36,0.00,0.62,0.00,87.36,0.62
0,ABFRL,273.20,6.61,274.75,1.55,96.26,0.00,0.68,0.00,96.26,0.68
0,ACC,2066.20,5.20,2076.40,10.20,94.26,0.00,0.37,0.00,94.26,0.37
0,APOLLOTYRE,470.45,9.92,473.45,3.00,94.14,0.00,0.44,0.00,94.14,0.44
0,BALKRISIND,2578.00,1.09,2591.80,13.80,94.84,0.00,0.73,0.00,94.84,0.73
0,BSOFT,395.45,-0.11,397.75,2.30,89.82,0.00,0.63,0.00,89.82,0.63
0,CESC,158.60,3.74,159.67,1.07,93.82,0.00,0.66,0.00,93.82,0.66
0,CHAMBLFERT,688.25,11.12,692.60,4.35,87.44,0.00,0.71,0.00,87.44,0.71
0,DEEPAKNTR,2003.00,0.60,2008.50,5.50,88.11,0.00,0.07,0.00,88.11,0.07
0,ESCORTS,3388.30,4.12,3411.50,23.20,96.55,0.00,0.62,0.00,96.55,0.62
0,GRANULES,475.05,-3.13,477.15,2.10,91.42,0.00,0.59,0.00,91.42,0.59
0,HINDCOPPER,224.18,0.33,225.84,1.66,94.28,0.00,0.75,0.00,94.28,0.75
0,IRB,48.48,5.30,48.70,0.22,94.45,0.00,0.64,0.00,94.45,0.64
0,JSL,571.95,-1.72,574.95,3.00,94.24,0.00,0.52,0.00,94.24,0.52
0,MGL,1324.30,-3.15,1329.20,4.90,90.27,0.00,0.60,0.00,90.27,0.60
0,MRF,129920.00,14.71,130540.00,620.00,89.95,0.00,0.34,0.00,89.95,0.34
0,PEL,1021.60,2.83,1028.60,7.00,82.81,0.00,0.73,0.00,82.81,0.73
0,POONAWALLA,396.35,17.06,388.60,-7.75,89.65,0.00,-1.82,0.00,89.65,-1.82
0,RAMCOCEM,987.55,11.87,994.10,6.55,90.49,0.00,0.71,0.00,90.49,0.71
0,SJVN,98.77,6.92,98.99,0.22,89.35,0.00,-0.07,0.00,89.35,-0.07
0,TATACOMM,1608.10,0.85,1618.80,10.70,89.41,0.00,0.60,0.00,89.41,0.60
NIFTY Airlines/Logistics,CONCOR,707.65,1.03,711.70,4.05,96.07,0.00,0.63,0.00,96.07,0.63
NIFTY Airlines/Logistics,DELHIVERY,300.70,18.89,302.05,1.35,71.21,0.00,0.65,0.00,71.21,0.65
NIFTY Airlines/Logistics,IRCTC,777.05,8.22,780.30,3.25,95.33,0.00,0.67,0.00,95.33,0.67
NIFTY Airlines/Logistics,TATATECH,717.20,4.37,700.10,-17.10,95.53,0.00,-2.62,0.00,95.53,-2.62
NIFTY Airlines/Logistics,TITAGARH,811.45,-0.46,814.15,2.70,80.92,0.00,0.32,0.00,80.92,0.32
NIFTY Auto,ASHOKLEY,230.62,10.60,231.54,0.92,85.25,0.00,0.47,0.00,85.25,0.47
NIFTY Auto,BHARATFORG,1106.50,-4.54,1100.80,-5.70,94.61,0.00,-0.25,0.00,94.61,-0.25
NIFTY Auto,BOSCHLTD,28430.00,0.26,28550.00,120.00,96.17,0.00,0.58,0.00,96.17,0.58
NIFTY Auto,EICHERMOT,5650.50,5.70,5670.50,20.00,85.82,0.00,0.62,0.00,85.82,0.62
NIFTY Auto,EXIDEIND,382.45,6.22,384.85,2.40,93.48,0.00,0.68,0.00,93.48,0.68
NIFTY Auto,HEROMOTOCO,3954.50,4.84,3967.70,13.20,92.58,0.00,0.63,0.00,92.58,0.63
