Sectoral Index,Symbol,Spot,Future Price,Basis,Rollover%,Avg. Roll Over,Rollover cost,Avg. Rollover Cost,Diff Rollover%,Diff Rollover Cost,M_o_M%,Next_M_o_M%
NIFTY Diversified,PIIND,3448.50,3417.00,-31.50,80.47,92.89,-1.07,0.42,-12.42,-1.49,-3.87,0
NIFTY Energy,ADANIENSOL,971.50,977.15,5.65,98.44,96.68,0.65,0.63,1.76,0.02,5.46,0
NIFTY Energy,ADANIGREEN,1011.60,1017.30,5.70,94.45,94.18,0.75,0.67,0.26,0.08,0.74,0
NIFTY Energy,BPCL,355.85,357.90,2.05,92.80,82.71,0.70,0.24,10.10,0.47,4.46,0
NIFTY Energy,COALINDIA,370.05,372.60,2.55,90.73,88.83,0.74,0.02,1.89,0.72,-5.45,0
NIFTY Energy,JSWENERGY,476.60,478.90,2.30,97.13,96.65,0.67,0.62,0.48,0.05,-11.14,0
NIFTY Energy,NHPC,77.23,77.56,0.33,93.56,89.85,0.70,0.53,3.71,0.17,-8.74,0
NIFTY Energy,NTPC,323.70,325.40,1.70,94.33,92.35,0.60,0.26,1.98,0.34,-4.56,0
NIFTY Energy,POWERGRID,273.45,274.80,1.35,95.49,91.74,0.75,0.24,3.75,0.51,-5.13,0
NIFTY Energy,SUZLON,54.19,54.55,0.36,94.85,92.65,0.65,0.53,2.20,0.11,-3.61,0
NIFTY Energy,TATAPOWER,380.00,381.60,1.60,92.49,95.67,0.59,0.56,-3.17,0.03,-4.68,0
NIFTY Energy,TORNTPOWER,1293.00,1298.50,5.50,94.48,89.71,0.70,0.54,4.77,0.17,1.24,0
NIFTY FMCG,BRITANNIA,5867.00,5892.00,25.00,89.26,94.92,0.43,0.29,-5.67,0.14,0.10,0
NIFTY FMCG,COLPAL,2167.70,2176.80,9.10,96.04,93.01,0.66,0.32,3.03,0.34,-2.91,0
NIFTY FMCG,DABUR,514.40,517.70,3.30,80.57,93.65,0.54,0.31,-13.08,0.23,2.19,0
NIFTY FMCG,GODREJCP,1144.50,1151.60,7.10,90.64,88.86,0.61,0.24,1.78,0.37,2.60,0
NIFTY FMCG,HINDUNILVR,2414.10,2417.50,3.40,87.54,91.94,0.21,0.27,-4.40,-0.07,-3.32,0
NIFTY FMCG,ITC,400.80,403.55,2.75,97.29,94.92,0.69,0.66,2.37,0.02,-4.09,0
