Sectoral Index,Symbol,Spot,M_o_M%,Future Price,Basis,Rollover%,Avg. Roll Over,Rollover cost,Avg. Rollover Cost,Diff Rollover%,Diff Rollover Cost
0,SAMMAANCAP,160.86,36.36,161.29,0.43,96.24,0.00,0.55,0.00,96.24,0.55
NIFTY Airlines/Logistics,CONCOR,525.80,-0.58,529.60,3.80,96.71,94.60,0.59,0.55,2.11,0.04
NIFTY Airlines/Logistics,DELHIVERY,450.05,-4.07,453.45,3.40,93.87,88.27,0.59,0.44,5.61,0.14
NIFTY Airlines/Logistics,IRCTC,700.40,0.11,705.45,5.05,96.91,93.96,0.60,0.66,2.95,-0.06
NIFTY Airlines/Logistics,TATATECH,669.50,1.11,673.85,4.35,96.27,93.31,0.55,-0.54,2.95,1.09
NIFTY Airlines/Logistics,TITAGARH,872.85,3.87,878.45,5.60,96.07,86.38,0.74,0.16,9.68,0.58
NIFTY Auto,ASHOKLEY,142.67,9.90,140.97,-1.70,93.01,92.68,-1.04,0.20,0.33,-1.25
NIFTY Auto,BHARATFORG,1212.40,7.81,1204.60,-7.80,93.17,89.02,-0.40,-0.01,4.16,-0.39
NIFTY Auto,BOSCHLTD,38145.00,-2.75,38445.00,300.00,92.83,91.46,0.71,0.38,1.37,0.33
NIFTY Auto,EICHERMOT,7005.50,14.23,7057.00,51.50,88.21,89.04,0.64,0.35,-0.83,0.29
NIFTY Auto,EXIDEIND,390.75,-0.82,393.10,2.35,96.17,94.07,0.68,0.56,2.09,0.12
NIFTY Auto,HEROMOTOCO,5472.50,7.48,5447.00,-25.50,85.63,91.38,-0.61,0.03,-5.76,-0.64
NIFTY Auto,MARUTI,16029.00,8.66,16109.00,80.00,63.58,83.08,0.66,0.31,-19.50,0.34
NIFTY Auto,MOTHERSON,105.65,14.70,106.35,0.70,95.92,94.78,0.59,0.52,1.14,0.06
NIFTY Auto,SONACOMS,411.75,-8.57,413.65,1.90,96.36,90.68,0.40,-0.34,5.68,0.74
NIFTY Auto,TATAMOTORS,680.20,0.70,683.30,3.10,84.77,92.60,0.40,0.56,-7.83,-0.16
NIFTY Auto,TIINDIA,3096.70,5.21,3118.80,22.10,97.91,90.69,0.47,0.64,7.22,-0.17
NIFTY Auto,TVSMOTOR,3438.70,5.61,3463.80,25.10,96.34,87.91,0.53,0.43,8.43,0.10
NIFTY Auto,UNOMINDA,1298.80,0.25,1302.90,4.10,98.00,90.89,0.55,0.40,7.11,0.16
NIFTY Aviation,INDIGO,5594.50,-2.31,5606.50,12.00,93.29,95.21,0.44,0.38,-1.92,0.06
NIFTY Bank,AUBANK,731.40,0.29,736.75,5.35,95.43,93.54,0.70,-0.70,1.89,1.40
NIFTY Bank,INDUSINDBK,735.55,-1.48,738.90,3.35,96.51,89.76,0.60,0.60,6.75,0.01
NIFTY Consumer Durables,AMBER,8089.00,11.51,7982.50,-106.50,93.54,87.02,-1.45,0.55,6.52,-2.00
NIFTY Consumer Durables,ASIANPAINT,2350.00,-5.58,2359.90,9.90,94.92,90.44,0.36,0.46,4.48,-0.11
NIFTY Consumer Durables,ASTRAL,1366.40,0.34,1374.50,8.10,91.79,93.81,0.48,0.41,-2.02,0.07
NIFTY Consumer Durables,BLUESTARCO,1881.00,0.05,1886.40,5.40,80.18,82.57,0.44,0.02,-2.39,0.41
NIFTY Consumer Durables,CROMPTON,291.30,-10.11,292.85,1.55,96.52,98.20,0.55,0.43,-1.68,0.12
NIFTY Consumer Durables,DIXON,16322.00,-2.13,16442.00,120.00,94.97,88.67,0.68,0.49,6.30,0.19
NIFTY Consumer Durables,HAVELLS,1502.00,-1.15,1513.20,11.20,95.54,89.35,0.59,0.54,6.19,0.05
NIFTY Consumer Durables,KALYANKJIL,454.30,-10.95,457.90,3.60,94.61,85.38,0.55,0.34,9.23,0.21
NIFTY Consumer Durables,PGEL,502.30,-7.20,505.95,3.65,94.18,94.40,0.55,0.64,-0.22,-0.10
NIFTY Consumer Durables,PIDILITIND,1468.00,-52.07,1479.60,11.60,93.96,95.02,0.52,0.44,-1.06,0.09
NIFTY Consumer Durables,POLYCAB,7286.00,2.53,7339.50,53.50,84.39,90.64,0.75,0.56,-6.25,0.19
NIFTY Consumer Durables,SUPREMEIND,4219.60,-6.37,4238.90,19.30,84.67,94.44,0.44,0.50,-9.77,-0.06
NIFTY Consumer Durables,TITAN,3367.00,-7.44,3391.00,24.00,96.11,94.19,0.75,0.46,1.91,0.30
NIFTY Consumer Durables,VOLTAS,1353.50,-0.43,1337.80,-15.70,95.89,89.56,-1.29,-0.04,6.33,-1.25
NIFTY Defense,BDL,1493.20,4.50,1502.00,8.80,94.39,90.98,0.50,0.61,3.41,-0.11
NIFTY Defense,BEL,403.95,11.02,405.65,1.70,95.79,92.67,0.62,0.55,3.12,0.07
NIFTY Defense,HAL,4746.50,9.25,4780.30,33.80,96.55,93.51,0.59,0.56,3.04,0.04
NIFTY Defense,MAZDOCK,2761.50,5.08,2777.70,16.20,93.49,93.05,0.53,0.57,0.45,-0.04
NIFTY Diversified,ADANIPORTS,1403.50,6.70,1411.20,7.70,96.50,91.91,0.81,0.49,4.59,0.32
NIFTY Diversified,PIIND,3513.50,-5.27,3527.00,13.50,90.10,92.43,0.59,0.42,-2.32,0.17
NIFTY Energy,ADANIENSOL,872.25,13.14,876.70,4.45,97.78,95.18,0.66,0.60,2.59,0.06
NIFTY Energy,ADANIGREEN,1026.85,11.47,1034.75,7.90,95.67,92.63,0.87,0.63,3.04,0.24
NIFTY Energy,BPCL,339.65,9.32,341.45,1.80,92.90,83.00,0.37,0.39,9.90,-0.02
NIFTY Energy,COALINDIA,389.95,4.18,391.60,1.65,96.12,91.50,0.51,0.29,4.63,0.22
NIFTY Energy,JSWENERGY,530.85,6.67,533.45,2.60,97.00,95.94,0.63,0.54,1.06,0.09
NIFTY Energy,NHPC,86.32,10.19,86.85,0.53,93.56,85.04,0.75,0.56,8.51,0.20
NIFTY Energy,NTPC,340.45,2.92,342.65,2.20,93.17,89.32,0.53,0.45,3.85,0.08
NIFTY Energy,POWERGRID,280.25,2.11,282.15,1.90,94.01,89.54,0.77,0.45,4.47,0.32
NIFTY Energy,SUZLON,55.05,-2.25,55.28,0.23,92.25,90.01,0.49,0.51,2.24,-0.02
NIFTY Energy,TATAPOWER,388.65,4.73,391.25,2.60,96.38,95.46,0.69,0.56,0.92,0.14
NIFTY Energy,TORNTPOWER,1218.90,-2.36,1227.60,8.70,91.36,90.42,0.69,0.42,0.94,0.27
NIFTY FMCG,BRITANNIA,5991.00,4.72,6027.50,36.50,97.40,92.52,0.58,0.28,4.88,0.29
NIFTY FMCG,COLPAL,2222.40,-1.78,2232.00,9.60,96.51,90.52,0.33,0.09,5.99,0.24
NIFTY FMCG,DABUR,491.30,-4.39,494.50,3.20,95.39,94.12,0.65,0.47,1.27,0.18
NIFTY FMCG,GODREJCP,1166.90,-6.69,1166.90,0.00,95.28,87.88,0.04,0.24,7.40,-0.20
NIFTY FMCG,HINDUNILVR,2514.40,-5.27,2531.60,17.20,94.84,89.85,0.52,0.51,4.99,0.01
NIFTY FMCG,ITC,401.55,0.16,404.40,2.85,96.77,91.78,0.66,0.63,4.99,0.03
NIFTY FMCG,JUBLFOOD,617.40,-2.86,622.10,4.70,92.34,93.66,0.33,0.52,-1.32,-0.19
NIFTY FMCG,MARICO,697.40,-2.00,702.55,5.15,96.09,96.12,0.56,0.32,-0.03,0.24
NIFTY FMCG,NESTLEIND,1152.90,-0.82,1161.70,8.80,98.52,92.81,0.62,0.44,5.71,0.19
NIFTY FMCG,PATANJALI,575.80,-67.47,579.00,3.20,98.40,94.48,0.80,0.58,3.92,0.22
NIFTY FMCG,TATACONSUM,1129.30,6.30,1136.40,7.10,97.64,94.92,0.66,0.52,2.71,0.14
NIFTY FMCG,TRENT,4677.50,-10.66,4706.00,28.50,86.81,93.04,0.76,0.53,-6.23,0.23
NIFTY FMCG,UNITDSPR,1324.30,3.34,1336.30,12.00,95.08,93.28,0.85,0.47,1.79,0.38
NIFTY FMCG,VBL,443.70,-10.85,446.95,3.25,91.09,91.64,0.66,0.47,-0.55,0.19
NIFTY Financial Services,360ONE,1024.00,-1.91,1025.60,1.60,64.31,68.55,0.02,0.44,-4.24,-0.42
NIFTY Financial Services,ABCAPITAL,292.35,5.37,294.20,1.85,98.34,93.50,0.72,0.51,4.84,0.21
NIFTY Financial Services,ANGELONE,2132.50,-5.62,2140.30,7.80,77.70,84.22,0.52,-1.20,-6.52,1.73
NIFTY Financial Services,BAJAJFINSV,2006.40,4.63,2020.70,14.30,96.25,89.66,0.71,0.56,6.58,0.15
NIFTY Financial Services,BAJFINANCE,998.90,13.92,1004.60,5.70,98.48,95.80,0.69,0.48,2.68,0.21
NIFTY Financial Services,BSE,2040.20,-6.34,2053.20,13.00,86.04,81.37,0.71,-0.10,4.66,0.81
NIFTY Financial Services,CDSL,1458.60,0.45,1468.50,9.90,93.28,91.50,0.55,-0.83,1.78,1.38
NIFTY Financial Services,CHOLAFIN,1610.80,11.88,1580.70,-30.10,95.16,93.42,-1.97,0.23,1.75,-2.20
NIFTY Financial Services,HDFCAMC,5532.50,-0.89,5553.50,21.00,94.21,90.48,0.57,0.40,3.73,0.17
NIFTY Financial Services,HDFCLIFE,756.45,-2.44,761.70,5.25,97.76,87.32,0.59,0.58,10.44,0.02
NIFTY Financial Services,ICICIGI,1889.80,1.59,1897.50,7.70,98.05,93.51,0.22,0.42,4.54,-0.20
NIFTY Financial Services,ICICIPRULI,595.20,-2.35,597.70,2.50,96.65,93.26,0.64,0.50,3.39,0.14
NIFTY Financial Services,IEX,139.19,-0.41,140.17,0.98,86.14,83.60,0.70,0.54,2.54,0.16
NIFTY Financial Services,IIFL,451.90,3.60,454.90,3.00,96.39,90.83,0.49,0.56,5.56,-0.07
NIFTY Financial Services,JIOFIN,293.20,-5.45,295.15,1.95,94.97,93.81,0.61,0.61,1.16,0.00
NIFTY Financial Services,KFINTECH,1051.70,0.16,1057.00,5.30,95.52,96.46,0.42,0.07,-0.94,0.35
NIFTY Financial Services,LICHSGFIN,565.00,3.22,569.10,4.10,96.41,92.68,0.72,0.40,3.72,0.32
NIFTY Financial Services,LICI,900.35,3.55,907.25,6.90,82.68,83.54,0.56,0.06,-0.86,0.49
NIFTY Financial Services,LTF,249.28,15.17,251.04,1.76,92.24,89.74,0.68,-0.71,2.50,1.39
NIFTY Financial Services,MANAPPURAM,280.80,6.77,282.75,1.95,95.87,85.67,0.78,0.54,10.20,0.25
NIFTY Financial Services,MCX,7796.00,5.33,7848.00,52.00,95.30,88.66,0.66,0.52,6.64,0.14
NIFTY Financial Services,MFSL,1575.90,-2.04,1584.10,8.20,94.02,84.15,0.48,0.46,9.87,0.02
NIFTY Financial Services,MUTHOOTFIN,3077.10,16.35,3089.00,11.90,91.27,78.78,0.33,0.22,12.49,0.11
NIFTY Financial Services,NUVAMA,6305.00,-3.73,6340.50,35.50,93.41,84.52,0.56,0.51,8.89,0.05
NIFTY Financial Services,PAYTM,1123.80,-8.69,1129.40,5.60,95.63,92.93,0.68,0.60,2.70,0.07
NIFTY Financial Services,PFC,410.25,7.47,412.25,2.00,96.05,93.10,0.52,0.39,2.94,0.13
NIFTY Financial Services,PNBHOUSING,863.60,12.59,869.00,5.40,94.65,89.77,0.58,0.45,4.88,0.13
NIFTY Financial Services,POLICYBZR,1702.00,-5.73,1709.10,7.10,98.52,92.17,0.56,0.44,6.35,0.12
NIFTY Financial Services,RECLTD,372.85,5.06,375.05,2.20,97.32,93.91,0.66,0.23,3.41,0.43
