Sectoral Index,Symbol,Spot,M_o_M%,Future Price,Basis,Rollover%,Avg. Roll Over,Rollover cost,Avg. Rollover Cost,Diff Rollover%,Diff Rollover Cost
0,AARTIIND,475.90,-0.85,479.05,3.15,88.00,0.00,0.94,0.00,88.00,0.94
0,ABFRL,74.39,-14.98,74.96,0.57,92.77,0.00,0.75,0.00,92.77,0.75
0,ACC,1881.70,-1.86,1895.90,14.20,92.79,0.00,0.66,0.00,92.79,0.66
0,BALKRISIND,2433.30,-2.20,2442.10,8.80,90.75,0.00,0.39,0.00,90.75,0.39
0,BSOFT,442.20,5.10,440.80,-1.40,69.60,0.00,-0.25,0.00,69.60,-0.25
0,CESC,173.19,3.06,174.54,1.35,87.39,0.00,0.57,0.00,87.39,0.57
0,CHAMBLFERT,557.90,-4.79,561.95,4.05,93.38,0.00,0.73,0.00,93.38,0.73
0,GRANULES,496.90,-7.17,499.55,2.65,94.01,0.00,0.73,0.00,94.01,0.73
0,HINDCOPPER,272.08,8.26,273.58,1.50,95.38,0.00,0.62,0.00,95.38,0.62
0,IRB,50.24,-2.33,50.66,0.42,94.18,0.00,0.84,0.00,94.18,0.84
0,JSL,694.05,3.71,697.50,3.45,92.32,0.00,0.48,0.00,92.32,0.48
0,MGL,1447.10,4.66,1452.70,5.60,84.14,0.00,0.17,0.00,84.14,0.17
0,PEL,1149.70,4.68,1161.40,11.70,97.63,0.00,0.93,0.00,97.63,0.93
0,POONAWALLA,449.65,11.40,448.15,-1.50,76.60,0.00,-0.59,0.00,76.60,-0.59
0,SJVN,100.00,-2.11,100.58,0.58,90.10,0.00,0.57,0.00,90.10,0.57
0,TATACOMM,1673.00,-0.91,1686.30,13.30,85.38,0.00,0.99,0.00,85.38,0.99
NIFTY Airlines/Logistics,CONCOR,754.20,-4.04,759.95,5.75,93.89,0.00,0.84,0.00,93.89,0.84
NIFTY Airlines/Logistics,DELHIVERY,384.80,6.84,385.10,0.30,85.92,0.00,0.09,0.00,85.92,0.09
NIFTY Airlines/Logistics,IRCTC,773.05,-0.21,777.45,4.40,93.77,0.00,0.73,0.00,93.77,0.73
NIFTY Airlines/Logistics,TATATECH,703.55,-8.77,708.65,5.10,89.13,0.00,0.89,0.00,89.13,0.89
NIFTY Airlines/Logistics,TITAGARH,938.80,3.03,943.40,4.60,86.20,0.00,0.51,0.00,86.20,0.51
NIFTY Auto,ASHOKLEY,248.92,3.40,250.74,1.82,93.52,0.00,0.59,0.00,93.52,0.59
NIFTY Auto,BHARATFORG,1286.50,2.44,1290.20,3.70,93.93,0.00,0.30,0.00,93.93,0.30
NIFTY Auto,BOSCHLTD,32215.00,3.07,31895.00,-320.00,95.73,0.00,-0.85,0.00,95.73,-0.85
NIFTY Auto,EICHERMOT,5611.50,4.32,5616.50,5.00,86.64,0.00,0.12,0.00,86.64,0.12
