Sectoral Index,Symbol,Spot,M_o_M%,Future Price,Basis,Rollover%,Avg. Roll Over,Rollover cost,Avg. Rollover Cost,Diff Rollover%,Diff Rollover Cost
NIFTY Auto,EXIDEIND,388.85,0.01,389.85,1.00,93.56,0.00,0.26,0.00,93.56,0.26
NIFTY Auto,HEROMOTOCO,4278.00,-1.80,4224.00,-54.00,93.36,0.00,-1.08,0.00,93.36,-1.08
NIFTY Auto,MARUTI,12715.00,2.61,12797.00,82.00,79.96,0.00,0.66,0.00,79.96,0.66
NIFTY Auto,MOTHERSON,154.39,1.51,154.99,0.60,96.06,0.00,0.71,0.00,96.06,0.71
NIFTY Auto,SONACOMS,480.80,-11.40,480.65,-0.15,84.13,0.00,0.22,0.00,84.13,0.22
NIFTY Auto,TATAMOTORS,682.75,-5.76,686.90,4.15,93.55,0.00,0.78,0.00,93.55,0.78
NIFTY Auto,TIINDIA,3005.30,-1.62,3023.30,18.00,70.14,0.00,0.84,0.00,70.14,0.84
NIFTY Auto,TVSMOTOR,2928.90,4.28,2926.20,-2.70,73.95,0.00,-0.07,0.00,73.95,-0.07
NIFTY Auto,UNOMINDA,1080.70,7.27,1085.80,5.10,95.37,0.00,0.59,0.00,95.37,0.59
NIFTY Aviation,INDIGO,5691.50,6.94,5732.50,41.00,95.32,0.00,0.74,0.00,95.32,0.74
NIFTY Bank,AUBANK,819.70,17.39,814.10,-5.60,89.00,0.00,-0.70,0.00,89.00,-0.70
NIFTY Bank,INDUSINDBK,836.10,1.45,840.55,4.45,77.85,0.00,0.73,0.00,77.85,0.73
NIFTY Consumer Durables,ASIANPAINT,2289.80,-0.20,2302.40,12.60,86.37,0.00,0.81,0.00,86.37,0.81
NIFTY Consumer Durables,ASTRAL,1522.30,1.37,1518.40,-3.90,92.54,0.00,-0.40,0.00,92.54,-0.40
NIFTY Consumer Durables,BLUESTARCO,1660.90,7.08,1656.70,-4.20,67.38,0.00,-0.54,0.00,67.38,-0.54
NIFTY Consumer Durables,CROMPTON,357.75,-0.43,357.50,-0.25,98.50,0.00,-0.04,0.00,98.50,-0.04
NIFTY Consumer Durables,DIXON,14315.00,-3.33,14404.00,89.00,91.94,0.00,0.69,0.00,91.94,0.69
NIFTY Consumer Durables,HAVELLS,1574.00,1.50,1586.70,12.70,92.58,0.00,0.49,0.00,92.58,0.49
NIFTY Consumer Durables,KALYANKJIL,553.35,-2.13,556.30,2.95,90.31,0.00,0.76,0.00,90.31,0.76
NIFTY Consumer Durables,PIDILITIND,3020.00,-0.32,3023.00,3.00,88.81,0.00,0.20,0.00,88.81,0.20
NIFTY Consumer Durables,POLYCAB,6468.50,7.76,6517.50,49.00,93.95,0.00,0.66,0.00,93.95,0.66
NIFTY Consumer Durables,SUPREMEIND,4374.50,2.99,4407.90,33.40,95.14,0.00,0.77,0.00,95.14,0.77
NIFTY Consumer Durables,TITAN,3694.70,2.97,3701.10,6.40,98.47,0.00,0.30,0.00,98.47,0.30
NIFTY Consumer Durables,VOLTAS,1317.10,4.36,1324.50,7.40,82.40,0.00,0.83,0.00,82.40,0.83
NIFTY Defense,BDL,1827.30,-7.41,1840.70,13.40,84.98,0.00,0.70,0.00,84.98,0.70
NIFTY Defense,BEL,410.10,6.02,411.60,1.50,93.37,0.00,0.37,0.00,93.37,0.37
NIFTY Defense,HAL,4817.10,-3.67,4845.40,28.30,92.46,0.00,0.61,0.00,92.46,0.61
NIFTY Defense,MAZDOCK,3121.90,-16.78,3144.30,22.40,90.17,0.00,0.67,0.00,90.17,0.67
NIFTY Diversified,ADANIPORTS,1429.30,-0.65,1436.30,7.00,91.29,0.00,0.61,0.00,91.29,0.61
NIFTY Diversified,PIIND,4138.40,6.78,4168.70,30.30,94.03,0.00,0.47,0.00,94.03,0.47
NIFTY Energy,ADANIENSOL,864.75,-1.84,871.50,6.75,96.56,0.00,0.71,0.00,96.56,0.71
NIFTY Energy,ADANIGREEN,992.00,-2.65,999.40,7.40,89.93,0.00,0.78,0.00,89.93,0.78
NIFTY Energy,BPCL,329.75,3.32,329.95,0.20,78.29,0.00,0.03,0.00,78.29,0.03
NIFTY Energy,COALINDIA,394.15,-1.02,395.50,1.35,88.04,0.00,0.42,0.00,88.04,0.42
NIFTY Energy,JSWENERGY,516.95,3.20,521.35,4.40,96.91,0.00,0.77,0.00,96.91,0.77
NIFTY Energy,NHPC,85.38,-1.95,85.86,0.48,87.08,0.00,0.45,0.00,87.08,0.45
NIFTY Energy,NTPC,337.15,-0.65,339.25,2.10,83.42,0.00,0.83,0.00,83.42,0.83
NIFTY Energy,POWERGRID,293.50,0.14,294.45,0.95,87.07,0.00,0.22,0.00,87.07,0.22
NIFTY Energy,TATAPOWER,405.65,2.10,408.55,2.90,94.85,0.00,0.74,0.00,94.85,0.74
NIFTY Energy,TORNTPOWER,1460.70,4.31,1470.60,9.90,84.30,0.00,0.47,0.00,84.30,0.47
NIFTY FMCG,BRITANNIA,5828.00,6.05,5856.00,28.00,92.10,0.00,0.53,0.00,92.10,0.53
NIFTY FMCG,COLPAL,2375.70,-4.47,2384.50,8.80,93.78,0.00,0.49,0.00,93.78,0.49
NIFTY FMCG,DABUR,481.55,-0.11,478.85,-2.70,98.17,0.00,-0.40,0.00,98.17,-0.40
NIFTY FMCG,GODREJCP,1184.30,-4.96,1190.20,5.90,91.99,0.00,0.61,0.00,91.99,0.61
NIFTY FMCG,HINDUNILVR,2280.80,-3.63,2294.70,13.90,93.84,0.00,0.79,0.00,93.84,0.79
NIFTY FMCG,ITC,420.30,0.37,423.05,2.75,93.08,0.00,0.70,0.00,93.08,0.70
NIFTY FMCG,JUBLFOOD,711.15,6.09,715.00,3.85,91.19,0.00,0.73,0.00,91.19,0.73
NIFTY FMCG,MARICO,726.25,0.39,730.10,3.85,94.55,0.00,0.32,0.00,94.55,0.32
NIFTY FMCG,NESTLEIND,2431.40,-0.15,2440.70,9.30,88.98,0.00,0.49,0.00,88.98,0.49
NIFTY FMCG,PATANJALI,1652.40,-5.96,1660.90,8.50,97.72,0.00,0.70,0.00,97.72,0.70
NIFTY FMCG,TATACONSUM,1145.40,3.21,1152.00,6.60,92.62,0.00,0.58,0.00,92.62,0.58
NIFTY FMCG,TRENT,6107.00,7.95,6113.00,6.00,93.59,0.00,0.11,0.00,93.59,0.11
NIFTY FMCG,UNITDSPR,1444.50,-5.13,1455.40,10.90,87.71,0.00,0.61,0.00,87.71,0.61
NIFTY FMCG,VBL,458.40,-5.10,461.65,3.25,95.95,0.00,0.69,0.00,95.95,0.69
NIFTY Financial Services,ABCAPITAL,276.80,25.10,278.01,1.21,87.48,0.00,0.19,0.00,87.48,0.19
NIFTY Financial Services,ANGELONE,2903.00,-3.30,2921.80,18.80,63.79,0.00,0.33,0.00,63.79,0.33
NIFTY Financial Services,BAJAJFINSV,2053.60,2.12,2066.90,13.30,93.91,0.00,0.53,0.00,93.91,0.53
NIFTY Financial Services,BAJFINANCE,951.50,-89.66,956.50,5.00,98.15,0.00,0.58,0.00,98.15,0.58
NIFTY Financial Services,BSE,2803.00,13.74,2823.70,20.70,77.27,0.00,0.54,0.00,77.27,0.54
NIFTY Financial Services,CDSL,1746.80,15.45,1750.70,3.90,84.96,0.00,0.27,0.00,84.96,0.27
NIFTY Financial Services,CHOLAFIN,1627.00,1.19,1632.60,5.60,91.61,0.00,0.54,0.00,91.61,0.54
NIFTY Financial Services,HDFCAMC,5075.00,4.75,5097.30,22.30,94.18,0.00,0.30,0.00,94.18,0.30
NIFTY Financial Services,HDFCLIFE,799.45,2.38,803.45,4.00,88.86,0.00,0.68,0.00,88.86,0.68
NIFTY Financial Services,ICICIGI,2017.00,8.72,2025.90,8.90,86.21,0.00,0.20,0.00,86.21,0.20
NIFTY Financial Services,ICICIPRULI,647.30,-3.16,651.70,4.40,90.61,0.00,0.53,0.00,90.61,0.53
NIFTY Financial Services,IEX,190.14,-4.84,191.53,1.39,89.09,0.00,0.66,0.00,89.09,0.66
NIFTY Financial Services,IIFL,477.95,11.76,482.15,4.20,96.20,0.00,0.73,0.00,96.20,0.73
NIFTY Financial Services,JIOFIN,312.50,8.56,314.50,2.00,90.43,0.00,0.59,0.00,90.43,0.59
NIFTY Financial Services,LICHSGFIN,622.05,4.36,626.10,4.05,93.28,0.00,0.57,0.00,93.28,0.57
NIFTY Financial Services,LICI,957.55,1.39,952.20,-5.35,56.21,0.00,-0.61,0.00,56.21,-0.61
NIFTY Financial Services,LTF,206.14,20.09,205.39,-0.75,83.56,0.00,-0.60,0.00,83.56,-0.60
NIFTY Financial Services,MANAPPURAM,274.10,18.24,276.24,2.14,69.16,0.00,0.59,0.00,69.16,0.59
NIFTY Financial Services,MCX,8839.00,34.48,8872.00,33.00,80.36,0.00,0.54,0.00,80.36,0.54
NIFTY Financial Services,MFSL,1634.30,9.71,1645.00,10.70,80.83,0.00,0.42,0.00,80.83,0.42
NIFTY Financial Services,MUTHOOTFIN,2583.20,25.08,2580.10,-3.10,89.52,0.00,-0.08,0.00,89.52,-0.08
NIFTY Financial Services,PAYTM,915.75,4.41,922.60,6.85,85.59,0.00,0.88,0.00,85.59,0.88
NIFTY Financial Services,PFC,420.25,1.63,422.55,2.30,92.42,0.00,0.57,0.00,92.42,0.57
NIFTY Financial Services,PNBHOUSING,1110.20,6.48,1119.20,9.00,87.76,0.00,0.46,0.00,87.76,0.46
NIFTY Financial Services,POLICYBZR,1834.10,2.79,1845.90,11.80,89.55,0.00,0.47,0.00,89.55,0.47
NIFTY Financial Services,RECLTD,403.55,-1.15,405.10,1.55,91.14,0.00,0.30,0.00,91.14,0.30
NIFTY Financial Services,SBICARD,975.30,6.68,973.45,-1.85,89.95,0.00,-0.47,0.00,89.95,-0.47
NIFTY Financial Services,SBILIFE,1860.80,1.96,1870.70,9.90,83.87,0.00,0.79,0.00,83.87,0.79
NIFTY Financial Services,SHRIRAMFIN,703.20,7.81,703.70,0.50,94.90,0.00,0.19,0.00,94.90,0.19
NIFTY Healthcare,APOLLOHOSP,7101.50,2.58,7150.00,48.50,94.68,0.00,0.51,0.00,94.68,0.51
NIFTY Healthcare,FORTIS,790.70,10.39,796.65,5.95,91.36,0.00,0.59,0.00,91.36,0.59
NIFTY Healthcare,MAXHEALTH,1266.50,11.57,1270.30,3.80,94.70,0.00,0.46,0.00,94.70,0.46
NIFTY Healthcare,SYNGENE,645.70,-0.32,649.55,3.85,91.57,0.00,0.53,0.00,91.57,0.53
NIFTY IT,CAMS,4212.80,6.04,4226.80,14.00,75.87,0.00,0.14,0.00,75.87,0.14
NIFTY IT,COFORGE,1888.00,-78.12,1902.00,14.00,92.35,0.00,0.56,0.00,92.35,0.56
NIFTY IT,CYIENT,1295.50,-4.36,1285.90,-9.60,87.83,0.00,-0.82,0.00,87.83,-0.82
NIFTY IT,HCLTECH,1724.10,3.57,1719.80,-4.30,89.10,0.00,-0.16,0.00,89.10,-0.16
NIFTY IT,INFY,1616.00,1.92,1623.50,7.50,91.66,0.00,0.44,0.00,91.66,0.44
NIFTY IT,KPITTECH,1275.90,-5.23,1282.60,6.70,88.07,0.00,0.75,0.00,88.07,0.75
NIFTY IT,LTIM,5373.00,4.77,5406.00,33.00,94.99,0.00,0.80,0.00,94.99,0.80
NIFTY IT,MPHASIS,2802.50,9.20,2819.10,16.60,80.00,0.00,0.45,0.00,80.00,0.45
NIFTY IT,OFSS,9074.50,6.77,9142.50,68.00,88.57,0.00,0.62,0.00,88.57,0.62
NIFTY IT,PERSISTENT,6055.50,6.80,6086.50,31.00,95.92,0.00,0.49,0.00,95.92,0.49
NIFTY IT,TATAELXSI,6274.50,-3.46,6226.50,-48.00,96.52,0.00,-0.80,0.00,96.52,-0.80
NIFTY IT,TCS,3441.80,-1.61,3449.80,8.00,93.45,0.00,0.32,0.00,93.45,0.32
NIFTY IT,TECHM,1690.20,5.64,1699.10,8.90,82.99,0.00,0.76,0.00,82.99,0.76
NIFTY IT,WIPRO,268.52,7.35,269.29,0.77,88.22,0.00,0.41,0.00,88.22,0.41
NIFTY Industrial,ABB,6012.50,-0.51,6049.50,37.00,95.56,0.00,0.63,0.00,95.56,0.63
NIFTY Industrial,CGPOWER,674.75,-3.20,678.30,3.55,93.59,0.00,0.63,0.00,93.59,0.63
NIFTY Industrial,CUMMINSIND,3364.60,6.16,3357.60,-7.00,77.94,0.00,-0.16,0.00,77.94,-0.16
NIFTY Industrial,KEI,3774.50,2.98,3804.70,30.20,88.69,0.00,0.78,0.00,88.69,0.78
NIFTY Industrial,SIEMENS,3164.90,-5.50,3180.00,15.10,83.11,0.00,0.57,0.00,83.11,0.57
NIFTY Industrial,SOLARINDS,17266.00,6.26,17389.00,123.00,93.73,0.00,0.54,0.00,93.73,0.54
NIFTY Industrial,SRF,3134.50,8.37,3157.80,23.30,90.54,0.00,0.67,0.00,90.54,0.67
NIFTY Infrastructure,AMBUJACEM,566.75,0.94,570.80,4.05,94.47,0.00,0.77,0.00,94.47,0.77
NIFTY Infrastructure,APLAPOLLO,1795.90,-1.70,1806.20,10.30,92.46,0.00,0.76,0.00,92.46,0.76
NIFTY Infrastructure,BHEL,264.45,-0.74,265.95,1.50,90.51,0.00,0.53,0.00,90.51,0.53
NIFTY Infrastructure,DALBHARAT,2191.80,6.78,2203.40,11.60,84.04,0.00,0.28,0.00,84.04,0.28
NIFTY Infrastructure,ETERNAL,265.18,16.12,266.34,1.16,90.30,0.00,0.46,0.00,90.30,0.46
NIFTY Infrastructure,GMRAIRPORT,84.87,-1.86,85.33,0.46,92.37,0.00,0.64,0.00,92.37,0.64
NIFTY Infrastructure,GRASIM,2883.30,12.03,2895.60,12.30,96.43,0.00,0.48,0.00,96.43,0.48
NIFTY Infrastructure,HFCL,87.52,-1.03,88.18,0.66,88.94,0.00,0.86,0.00,88.94,0.86
NIFTY Infrastructure,INDHOTEL,782.95,2.70,785.95,3.00,84.39,0.00,0.72,0.00,84.39,0.72
NIFTY Infrastructure,LT,3659.60,0.12,3680.90,21.30,95.87,0.00,0.67,0.00,95.87,0.67
NIFTY Infrastructure,NCC,230.97,-2.30,232.99,2.02,88.40,0.00,0.74,0.00,88.40,0.74
NIFTY Infrastructure,RVNL,399.55,-4.44,401.30,1.75,89.48,0.00,0.55,0.00,89.48,0.55
NIFTY Infrastructure,SHREECEM,30105.00,0.64,30280.00,175.00,81.69,0.00,0.58,0.00,81.69,0.58
NIFTY Infrastructure,ULTRACEMCO,11951.00,6.05,11963.00,12.00,91.14,0.00,0.17,0.00,91.14,0.17
NIFTY Infrastructure,UPL,636.50,0.87,634.65,-1.85,98.78,0.00,-0.17,0.00,98.78,-0.17
NIFTY Metal,ADANIENT,2586.20,1.79,2604.80,18.60,92.70,0.00,0.60,0.00,92.70,0.60
NIFTY Metal,HINDALCO,690.60,6.25,693.10,2.50,90.76,0.00,0.17,0.00,90.76,0.17
NIFTY Metal,HINDZINC,448.90,-3.41,452.15,3.25,93.83,0.00,0.78,0.00,93.83,0.78
NIFTY Metal,JINDALSTEL,954.90,-1.69,959.65,4.75,82.81,0.00,0.79,0.00,82.81,0.79
NIFTY Metal,JSWSTEEL,1032.55,2.62,1036.85,4.30,98.04,0.00,0.44,0.00,98.04,0.44
NIFTY Metal,NATIONALUM,193.59,5.43,195.00,1.41,85.94,0.00,0.63,0.00,85.94,0.63
NIFTY Metal,NMDC,70.55,-2.41,71.06,0.51,94.12,0.00,0.69,0.00,94.12,0.69
NIFTY Metal,SAIL,133.62,2.82,134.24,0.62,89.17,0.00,0.39,0.00,89.17,0.39
NIFTY Metal,TATACHEM,935.25,4.94,941.60,6.35,87.54,0.00,0.53,0.00,87.54,0.53
NIFTY Metal,TATASTEEL,160.54,-1.58,161.64,1.10,90.11,0.00,0.77,0.00,90.11,0.77
NIFTY Metal,VEDL,455.50,0.85,459.10,3.60,96.71,0.00,0.68,0.00,96.71,0.68
NIFTY Oil & Gas,ATGL,645.55,-5.17,650.40,4.85,89.97,0.00,0.88,0.00,89.97,0.88
NIFTY Oil & Gas,GAIL,186.79,-2.59,187.93,1.14,85.49,0.00,0.65,0.00,85.49,0.65
NIFTY Oil & Gas,HINDPETRO,420.30,1.34,423.25,2.95,95.84,0.00,0.44,0.00,95.84,0.44
NIFTY Oil & Gas,IGL,208.33,-2.83,209.15,0.82,75.83,0.00,0.68,0.00,75.83,0.68
NIFTY Oil & Gas,IOC,146.28,1.80,147.48,1.20,83.91,0.00,0.58,0.00,83.91,0.58
NIFTY Oil & Gas,OIL,442.30,-0.44,442.35,0.05,74.95,0.00,-0.01,0.00,74.95,-0.01
NIFTY Oil & Gas,ONGC,244.73,0.70,245.66,0.93,72.68,0.00,0.27,0.00,72.68,0.27
NIFTY Oil & Gas,PETRONET,299.80,-4.52,299.15,-0.65,95.70,0.00,-0.38,0.00,95.70,-0.38
NIFTY Oil & Gas,RELIANCE,1495.30,5.47,1500.40,5.10,92.37,0.00,0.58,0.00,92.37,0.58
NIFTY Others (Thematic/Niche),INOXWIND,173.89,-9.10,174.90,1.01,91.80,0.00,0.60,0.00,91.80,0.60
NIFTY Others (Thematic/Niche),KAYNES,5769.00,-4.28,5812.50,43.50,88.33,0.00,0.57,0.00,88.33,0.57
NIFTY PSE,IREDA,170.93,-3.24,172.28,1.35,64.91,0.00,0.78,0.00,64.91,0.78
NIFTY PSE,IRFC,139.87,-0.06,140.90,1.03,80.08,0.00,0.73,0.00,80.08,0.73
NIFTY PSE,NBCC,123.91,6.64,124.90,0.99,88.58,0.00,0.72,0.00,88.58,0.72
NIFTY PSU Bank,BANKBARODA,239.34,-1.60,240.76,1.42,91.38,0.00,0.68,0.00,91.38,0.68
NIFTY PSU Bank,BANKINDIA,116.95,-1.90,117.82,0.87,91.85,0.00,0.75,0.00,91.85,0.75
NIFTY PSU Bank,CANBK,111.07,0.31,111.60,0.53,88.46,0.00,0.59,0.00,88.46,0.59
NIFTY PSU Bank,INDIANB,635.95,5.81,639.15,3.20,71.60,0.00,0.32,0.00,71.60,0.32
NIFTY PSU Bank,PNB,106.25,3.85,106.87,0.62,93.86,0.00,0.65,0.00,93.86,0.65
NIFTY PSU Bank,SBIN,797.05,-0.04,802.25,5.20,90.76,0.00,0.64,0.00,90.76,0.64
NIFTY PSU Bank,UNIONBANK,148.12,4.97,149.04,0.92,84.56,0.00,0.45,0.00,84.56,0.45
NIFTY Pharma,ALKEM,4841.00,-8.57,4878.00,37.00,81.42,0.00,0.88,0.00,81.42,0.88
NIFTY Pharma,AUROPHARMA,1123.20,-4.24,1130.70,7.50,96.50,0.00,0.78,0.00,96.50,0.78
NIFTY Pharma,BIOCON,350.50,4.44,352.90,2.40,85.12,0.00,0.66,0.00,85.12,0.66
NIFTY Pharma,CIPLA,1513.80,2.50,1505.70,-8.10,96.13,0.00,-0.39,0.00,96.13,-0.39
NIFTY Pharma,DIVISLAB,6616.00,-0.23,6615.50,-0.50,97.44,0.00,0.20,0.00,97.44,0.20
NIFTY Pharma,DRREDDY,1321.50,5.87,1323.00,1.50,78.15,0.00,0.20,0.00,78.15,0.20
NIFTY Pharma,GLENMARK,1732.00,23.15,1742.30,10.30,91.98,0.00,0.72,0.00,91.98,0.72
NIFTY Pharma,LAURUSLABS,680.35,10.72,686.20,5.85,94.35,0.00,0.59,0.00,94.35,0.59
NIFTY Pharma,LUPIN,1928.70,-2.10,1929.70,1.00,91.65,0.00,0.26,0.00,91.65,0.26
NIFTY Pharma,MANKIND,2303.50,-6.43,2319.30,15.80,92.28,0.00,0.72,0.00,92.28,0.72
NIFTY Pharma,PPLPHARMA,200.99,-2.00,202.10,1.11,72.74,0.00,0.40,0.00,72.74,0.40
NIFTY Pharma,SUNPHARMA,1669.80,-1.76,1673.30,3.50,90.73,0.00,0.17,0.00,90.73,0.17
NIFTY Pharma,TORNTPHARM,3222.50,1.94,3236.40,13.90,94.89,0.00,0.54,0.00,94.89,0.54
NIFTY Pharma,ZYDUSLIFE,981.95,6.19,976.45,-5.50,96.69,0.00,-0.73,0.00,96.69,-0.73
NIFTY Private Bank,AXISBANK,1233.50,2.65,1238.50,5.00,91.49,0.00,0.67,0.00,91.49,0.67
NIFTY Private Bank,BANDHANBNK,185.06,8.27,185.64,0.58,84.99,0.00,0.40,0.00,84.99,0.40
NIFTY Private Bank,FEDERALBNK,210.02,4.44,209.66,-0.36,88.85,0.00,-0.24,0.00,88.85,-0.24
NIFTY Private Bank,HDFCBANK,2021.80,4.89,2010.00,-11.80,93.37,0.00,-0.32,0.00,93.37,-0.32
NIFTY Private Bank,ICICIBANK,1439.10,-1.19,1443.80,4.70,93.90,0.00,0.56,0.00,93.90,0.56
NIFTY Private Bank,IDFCFIRSTB,71.90,5.89,72.42,0.52,92.08,0.00,1.07,0.00,92.08,1.07
NIFTY Private Bank,KOTAKBANK,2203.90,5.88,2215.10,11.20,97.65,0.00,0.50,0.00,97.65,0.50
NIFTY Private Bank,RBLBANK,237.41,10.01,239.27,1.86,91.50,0.00,0.53,0.00,91.50,0.53
NIFTY Private Bank,YESBANK,20.08,-5.77,20.23,0.15,90.44,0.00,0.85,0.00,90.44,0.85
NIFTY Private Bank,YESBANK,20.08,-5.77,20.23,0.15,90.44,0.00,0.85,0.00,90.44,0.85
NIFTY Realty,DLF,847.10,6.72,851.55,4.45,89.32,0.00,0.64,0.00,89.32,0.64
NIFTY Realty,GODREJPROP,2391.60,6.80,2408.10,16.50,92.40,0.00,0.69,0.00,92.40,0.69
NIFTY Realty,HUDCO,240.43,0.30,242.42,1.99,88.49,0.00,0.80,0.00,88.49,0.80
NIFTY Realty,LODHA,1441.40,-1.07,1450.90,9.50,84.62,0.00,0.63,0.00,84.62,0.63
NIFTY Realty,OBEROIRLTY,1982.30,13.87,1938.20,-44.10,90.92,0.00,-2.11,0.00,90.92,-2.11
NIFTY Realty,PHOENIXLTD,1627.40,3.10,1639.80,12.40,92.95,0.00,0.68,0.00,92.95,0.68
NIFTY Realty,PRESTIGE,1699.00,13.20,1713.10,14.10,81.08,0.00,1.09,0.00,81.08,1.09
NIFTY Services,DMART,4315.40,6.76,4335.60,20.20,92.85,0.00,0.75,0.00,92.85,0.75
NIFTY Services,NAUKRI,1516.40,4.72,1519.70,3.30,91.26,0.00,0.36,0.00,91.26,0.36
NIFTY Services,NYKAA,206.85,1.14,203.97,-2.88,71.06,0.00,-1.54,0.00,71.06,-1.54
NIFTY Telecom,BHARTIARTL,2014.30,8.09,2008.20,-6.10,85.40,0.00,-0.06,0.00,85.40,-0.06
NIFTY Telecom,IDEA,7.24,1.40,7.30,0.06,95.53,0.00,0.83,0.00,95.53,0.83
NIFTY Telecom,INDUSTOWER,415.35,6.16,418.55,3.20,97.18,0.00,0.63,0.00,97.18,0.63
NIFTY Textile,PAGEIND,48700.00,5.08,47960.00,-740.00,91.82,0.00,-1.40,0.00,91.82,-1.40
