Sectoral Index,Symbol,Spot,M_o_M%,Future Price,Basis,Rollover%,Avg. Roll Over,Rollover cost,Avg. Rollover Cost,Diff Rollover%,Diff Rollover Cost
0,AARTIIND,480.00,8.51,482.95,2.95,90.49,0.00,0.58,0.00,90.49,0.58
0,ABFRL,87.50,-67.97,88.25,0.75,61.93,0.00,0.80,0.00,61.93,0.80
0,ACC,1917.30,-7.21,1920.40,3.10,91.03,0.00,0.22,0.00,91.03,0.22
0,BALKRISIND,2488.00,-3.49,2502.80,14.80,91.72,0.00,0.44,0.00,91.72,0.44
0,BSOFT,420.75,6.40,423.25,2.50,83.68,0.00,0.80,0.00,83.68,0.80
0,CESC,168.05,5.96,169.30,1.25,95.53,0.00,0.55,0.00,95.53,0.55
0,CHAMBLFERT,585.95,-14.86,590.20,4.25,87.34,0.00,0.76,0.00,87.34,0.76
0,GRANULES,535.30,12.68,538.95,3.65,92.09,0.00,0.47,0.00,92.09,0.47
0,HINDCOPPER,251.32,12.11,253.17,1.85,94.66,0.00,0.79,0.00,94.66,0.79
0,IRB,51.44,6.11,51.75,0.31,95.73,0.00,0.58,0.00,95.73,0.58
0,JSL,669.20,17.00,673.95,4.75,94.82,0.00,0.75,0.00,94.82,0.75
0,MGL,1382.70,4.41,1388.40,5.70,92.95,0.00,0.58,0.00,92.95,0.58
0,PEL,1098.25,7.50,1094.85,-3.40,95.49,0.00,-0.41,0.00,95.49,-0.41
0,POONAWALLA,403.65,1.84,403.20,-0.45,87.28,0.00,-0.27,0.00,87.28,-0.27
0,SJVN,102.16,3.43,102.16,0.00,95.21,0.00,0.11,0.00,95.21,0.11
0,TATACOMM,1688.40,4.99,1682.80,-5.60,74.69,0.00,-0.46,0.00,74.69,-0.46
NIFTY Airlines/Logistics,CONCOR,785.95,11.06,786.05,0.10,92.95,0.00,0.27,0.00,92.95,0.27
NIFTY Airlines/Logistics,DELHIVERY,360.15,19.77,362.05,1.90,92.54,0.00,0.36,0.00,92.54,0.36
NIFTY Airlines/Logistics,IRCTC,774.70,-0.30,779.70,5.00,95.10,0.00,0.61,0.00,95.10,0.61
NIFTY Airlines/Logistics,TATATECH,771.20,7.53,763.05,-8.15,89.76,0.00,-1.07,0.00,89.76,-1.07
NIFTY Airlines/Logistics,TITAGARH,911.20,12.29,907.95,-3.25,86.74,0.00,-0.25,0.00,86.74,-0.25
NIFTY Auto,ASHOKLEY,240.73,4.38,242.19,1.46,89.97,0.00,0.39,0.00,89.97,0.39
NIFTY Auto,BHARATFORG,1255.90,13.50,1263.40,7.50,93.55,0.00,0.56,0.00,93.55,0.56
NIFTY Auto,BOSCHLTD,31255.00,9.94,31475.00,220.00,93.89,0.00,0.64,0.00,93.89,0.64
