Sectoral Index,Symbol,Spot,M_o_M%,Future Price,Basis,Rollover%,Avg. Roll Over,Rollover cost,Avg. Rollover Cost,Diff Rollover%,Diff Rollover Cost
0,AARTIIND,395.85,-9.62,398.30,2.45,94.08,0.00,0.58,0.00,94.08,0.58
0,ABFRL,242.30,-8.81,243.40,1.10,97.28,0.00,0.52,0.00,97.28,0.52
0,ACC,1825.30,-8.44,1834.30,9.00,89.46,0.00,0.65,0.00,89.46,0.65
0,APOLLOTYRE,389.95,-9.90,392.20,2.25,82.38,0.00,0.37,0.00,82.38,0.37
0,BALKRISIND,2685.85,-2.85,2686.75,0.90,96.79,0.00,-0.05,0.00,96.79,-0.05
0,BERGEPAINT,505.25,6.18,494.40,-10.85,63.43,0.00,-2.48,0.00,63.43,-2.48
0,BSOFT,449.70,-15.17,453.10,3.40,92.03,0.00,0.77,0.00,92.03,0.77
0,CESC,134.25,-5.15,134.65,0.40,96.10,0.00,0.64,0.00,96.10,0.64
0,CHAMBLFERT,574.75,16.35,552.60,-22.15,76.67,0.00,-3.91,0.00,76.67,-3.91
0,DEEPAKNTR,1884.45,-17.09,1891.75,7.30,83.03,0.00,0.34,0.00,83.03,0.34
0,ESCORTS,2924.40,-18.56,2943.45,19.05,65.01,0.00,0.38,0.00,65.01,0.38
0,GRANULES,506.95,-10.19,508.20,1.25,95.87,0.00,0.07,0.00,95.87,0.07
0,HINDCOPPER,212.67,-7.51,213.44,0.77,96.93,0.00,0.58,0.00,96.93,0.58
0,IRB,45.24,-15.68,45.49,0.25,93.82,0.00,0.62,0.00,93.82,0.62
0,JKCEMENT,4517.15,-5.90,4541.80,24.65,92.95,0.00,0.56,0.00,92.95,0.56
0,JSL,596.55,-8.06,599.20,2.65,94.42,0.00,0.25,0.00,94.42,0.25
0,LTTS,4645.65,-14.14,4676.20,30.55,91.73,0.00,0.42,0.00,91.73,0.42
0,MGL,1311.30,0.60,1316.90,5.60,95.59,0.00,0.61,0.00,95.59,0.61
0,MRF,105723.40,-6.13,106205.15,481.75,95.34,0.00,0.53,0.00,95.34,0.53
0,PEL,905.30,-7.27,910.15,4.85,95.03,0.00,0.65,0.00,95.03,0.65
0,POONAWALLA,282.95,-8.31,277.95,-5.00,94.88,0.00,-2.00,0.00,94.88,-2.00
0,RAMCOCEM,842.85,-8.92,846.55,3.70,95.94,0.00,0.42,0.00,95.94,0.42
0,SJVN,87.98,-7.04,83.61,-4.37,90.30,0.00,-5.26,0.00,90.30,-5.26
0,TATACOMM,1388.95,-12.48,1395.65,6.70,95.38,0.00,0.68,0.00,95.38,0.68
0,ZOMATO,229.04,4.68,228.88,-0.16,95.00,0.00,0.16,0.00,95.00,0.16
NIFTY Airlines/Logistics,CONCOR,662.55,-12.39,664.50,1.95,92.07,0.00,0.54,0.00,92.07,0.54
NIFTY Airlines/Logistics,DELHIVERY,256.05,-20.63,257.50,1.45,86.33,0.00,0.29,0.00,86.33,0.29
NIFTY Airlines/Logistics,IRCTC,694.35,-10.87,698.15,3.80,92.52,0.00,0.55,0.00,92.52,0.55
NIFTY Auto,ASHOKLEY,225.43,7.18,222.57,-2.86,94.32,0.00,-1.03,0.00,94.32,-1.03
NIFTY Auto,BHARATFORG,1038.40,-12.30,1041.45,3.05,91.97,0.00,0.55,0.00,91.97,0.55
NIFTY Auto,BOSCHLTD,26822.15,-6.16,26918.85,96.70,90.56,0.00,0.54,0.00,90.56,0.54
NIFTY Auto,EICHERMOT,4935.50,-4.43,4968.05,32.55,92.71,0.00,0.67,0.00,92.71,0.67
NIFTY Auto,EXIDEIND,354.50,-1.53,356.45,1.95,94.28,0.00,0.61,0.00,94.28,0.61
NIFTY Auto,HEROMOTOCO,3759.55,-10.01,3781.45,21.90,91.85,0.00,0.53,0.00,91.85,0.53
NIFTY Auto,MARUTI,12380.60,3.17,12437.35,56.75,88.15,0.00,0.42,0.00,88.15,0.42
NIFTY Auto,MOTHERSON,122.90,-11.40,123.60,0.70,94.79,0.00,0.58,0.00,94.79,0.58
NIFTY Auto,SONACOMS,503.05,-0.15,501.40,-1.65,92.61,0.00,-0.08,0.00,92.61,-0.08
NIFTY Auto,TATAMOTORS,648.55,-6.93,651.70,3.15,92.11,0.00,0.55,0.00,92.11,0.55
NIFTY Auto,TIINDIA,2543.80,-22.65,2558.90,15.10,93.90,0.00,0.44,0.00,93.90,0.44
NIFTY Auto,TVSMOTOR,2338.95,-4.74,2345.25,6.30,87.30,0.00,0.37,0.00,87.30,0.37
NIFTY Aviation,INDIGO,4443.40,5.10,4469.00,25.60,91.29,0.00,0.69,0.00,91.29,0.69
NIFTY Bank,AUBANK,556.70,-6.62,557.45,0.75,84.13,0.00,0.26,0.00,84.13,0.26
NIFTY Bank,INDUSINDBK,1046.70,9.37,1048.15,1.45,94.21,0.00,0.41,0.00,94.21,0.41
NIFTY Consumer Durables,ASIANPAINT,2213.65,-1.61,2222.90,9.25,94.25,0.00,0.58,0.00,94.25,0.58
NIFTY Consumer Durables,ASTRAL,1388.10,-5.43,1394.55,6.45,95.07,0.00,0.60,0.00,95.07,0.60
NIFTY Consumer Durables,CROMPTON,325.60,-5.02,327.15,1.55,98.53,0.00,0.55,0.00,98.53,0.55
NIFTY Consumer Durables,DIXON,13824.30,-5.70,13819.10,-5.20,91.55,0.00,0.06,0.00,91.55,0.06
NIFTY Consumer Durables,HAVELLS,1451.25,-6.01,1456.10,4.85,96.38,0.00,0.49,0.00,96.38,0.49
NIFTY Consumer Durables,KALYANKJIL,469.20,6.48,463.60,-5.60,79.15,0.00,-0.95,0.00,79.15,-0.95
NIFTY Consumer Durables,PIDILITIND,2677.10,-7.26,2692.30,15.20,93.12,0.00,0.46,0.00,93.12,0.46
NIFTY Consumer Durables,POLYCAB,4679.55,-19.16,4708.60,29.05,82.46,0.00,0.55,0.00,82.46,0.55
NIFTY Consumer Durables,SUPREMEIND,3489.45,-7.52,3515.45,26.00,65.93,0.00,0.66,0.00,65.93,0.66
NIFTY Consumer Durables,TITAN,3223.10,-4.31,3236.20,13.10,95.15,0.00,0.52,0.00,95.15,0.52
