Sectoral Index,Symbol,Spot,M_o_M%,Future Price,Basis,Rollover%,Avg. Roll Over,Rollover cost,Avg. Rollover Cost,Diff Rollover%,Diff Rollover Cost
0,AARTIIND,395.50,-0.09,398.85,3.35,96.58,0.00,0.72,0.00,96.58,0.72
0,ABFRL,256.27,5.77,258.76,2.49,97.10,0.00,0.94,0.00,97.10,0.94
0,ACC,1964.10,7.60,1979.10,15.00,80.06,0.00,0.65,0.00,80.06,0.65
0,APOLLOTYRE,428.00,9.76,431.10,3.10,87.28,0.00,0.65,0.00,87.28,0.65
0,BALKRISIND,2550.25,-5.05,2570.80,20.55,91.57,0.00,0.81,0.00,91.57,0.81
0,BERGEPAINT,501.75,-0.69,504.00,2.25,93.42,0.00,0.48,0.00,93.42,0.48
0,BSOFT,395.90,-11.96,399.40,3.50,94.87,0.00,0.88,0.00,94.87,0.88
0,CESC,152.88,13.88,154.15,1.27,97.34,0.00,0.82,0.00,97.34,0.82
0,CHAMBLFERT,619.35,7.76,620.55,1.20,89.30,0.00,0.03,0.00,89.30,0.03
0,DEEPAKNTR,1991.15,5.66,2004.20,13.05,84.28,0.00,0.85,0.00,84.28,0.85
0,ESCORTS,3254.20,11.28,3269.40,15.20,95.48,0.00,0.64,0.00,95.48,0.64
0,GRANULES,490.40,-3.26,493.35,2.95,95.07,0.00,0.83,0.00,95.07,0.83
0,HINDCOPPER,223.45,5.07,225.95,2.50,92.99,0.00,1.23,0.00,92.99,1.23
0,IRB,46.04,1.77,46.40,0.36,96.61,0.00,0.76,0.00,96.61,0.76
0,JSL,581.95,-2.45,586.50,4.55,92.84,0.00,0.75,0.00,92.84,0.75
0,MGL,1367.35,4.27,1379.80,12.45,97.78,0.00,0.91,0.00,97.78,0.91
0,MRF,113264.05,7.13,114134.85,870.80,95.90,0.00,0.74,0.00,95.90,0.74
0,PEL,993.50,9.74,1001.70,8.20,92.42,0.00,0.68,0.00,92.42,0.68
0,POONAWALLA,338.60,19.67,339.30,0.70,93.61,0.00,-0.22,0.00,93.61,-0.22
0,RAMCOCEM,882.75,4.73,888.85,6.10,89.45,0.00,0.74,0.00,89.45,0.74
0,SJVN,92.38,5.00,92.82,0.44,90.49,0.00,0.15,0.00,90.49,0.15
0,TATACOMM,1594.55,14.80,1606.55,12.00,94.52,0.00,0.85,0.00,94.52,0.85
0,ZOMATO,206.28,-9.94,205.54,-0.74,96.45,0.00,-0.24,0.00,96.45,-0.24
NIFTY Airlines/Logistics,CONCOR,700.45,5.72,706.00,5.55,95.70,0.00,0.56,0.00,95.70,0.56
NIFTY Airlines/Logistics,DELHIVERY,252.92,-1.22,254.56,1.64,90.24,0.00,0.79,0.00,90.24,0.79
NIFTY Airlines/Logistics,IRCTC,718.05,3.41,724.45,6.40,92.17,0.00,0.91,0.00,92.17,0.91
NIFTY Airlines/Logistics,TATATECH,687.15,-3.93,677.30,-9.85,94.52,0.00,-1.56,0.00,94.52,-1.56
NIFTY Airlines/Logistics,TITAGARH,815.20,9.99,813.20,-2.00,79.61,0.00,-0.41,0.00,79.61,-0.41
NIFTY Auto,ASHOKLEY,208.52,-7.50,206.14,-2.38,95.42,0.00,-1.10,0.00,95.42,-1.10
NIFTY Auto,BHARATFORG,1159.15,11.63,1146.75,-12.40,75.95,0.00,-1.43,0.00,75.95,-1.43
NIFTY Auto,BOSCHLTD,28355.50,5.72,28455.20,99.70,83.28,0.00,0.74,0.00,83.28,0.74
NIFTY Auto,EICHERMOT,5345.75,8.31,5387.90,42.15,89.23,0.00,0.79,0.00,89.23,0.79
NIFTY Auto,EXIDEIND,360.05,1.57,362.80,2.75,93.00,0.00,0.67,0.00,93.00,0.67
NIFTY Auto,HEROMOTOCO,3772.05,0.33,3789.40,17.35,94.74,0.00,0.85,0.00,94.74,0.85
NIFTY Auto,MARUTI,11721.95,-5.32,11788.60,66.65,92.41,0.00,0.80,0.00,92.41,0.80
NIFTY Auto,MOTHERSON,131.91,7.33,132.33,0.42,89.71,0.00,0.30,0.00,89.71,0.30
NIFTY Auto,SONACOMS,467.35,-7.10,466.70,-0.65,91.88,0.00,0.05,0.00,91.88,0.05
NIFTY Auto,TATAMOTORS,668.55,3.08,673.60,5.05,90.22,0.00,0.85,0.00,90.22,0.85
NIFTY Auto,TIINDIA,2761.90,8.57,2781.70,19.80,97.46,0.00,0.67,0.00,97.46,0.67
NIFTY Auto,TVSMOTOR,2455.65,4.99,2467.50,11.85,89.45,0.00,0.71,0.00,89.45,0.71
NIFTY Aviation,INDIGO,5127.80,15.40,5161.45,33.65,96.83,0.00,0.39,0.00,96.83,0.39
NIFTY Bank,AUBANK,554.40,-0.41,541.45,-12.95,96.17,0.00,-2.21,0.00,96.17,-2.21
NIFTY Bank,INDUSINDBK,673.55,-35.65,676.85,3.30,88.62,0.00,0.49,0.00,88.62,0.49
NIFTY Consumer Durables,ASIANPAINT,2338.10,5.62,2350.60,12.50,94.27,0.00,0.85,0.00,94.27,0.85
NIFTY Consumer Durables,ASTRAL,1294.55,-6.74,1303.95,9.40,96.87,0.00,0.68,0.00,96.87,0.68
NIFTY Consumer Durables,CROMPTON,354.75,8.95,357.25,2.50,98.02,0.00,0.65,0.00,98.02,0.65
NIFTY Consumer Durables,DIXON,13510.80,-2.27,13622.25,111.45,92.56,0.00,0.57,0.00,92.56,0.57
NIFTY Consumer Durables,HAVELLS,1515.35,4.42,1525.35,10.00,92.72,0.00,0.99,0.00,92.72,0.99
NIFTY Consumer Durables,KALYANKJIL,469.05,-0.03,471.10,2.05,79.25,0.00,0.45,0.00,79.25,0.45
NIFTY Consumer Durables,PIDILITIND,2866.50,7.07,2880.45,13.95,95.92,0.00,0.44,0.00,95.92,0.44
NIFTY Consumer Durables,POLYCAB,5216.55,11.48,5264.20,47.65,83.01,0.00,0.90,0.00,83.01,0.90
